               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.105094E+03   0.598944E-03
Maximum           0.119288E+03   0.203260E+02
Range             0.141940E+02   0.203254E+02
Mean              0.113314E+03   0.115851E+01
Median            0.113311E+03   0.732588E+00
Q10%              0.112322E+03   0.990891E-01
Q25%              0.112882E+03   0.309141E+00
Q75%              0.113787E+03   0.139625E+01
Q90%              0.114434E+03   0.246580E+01
St.Dev.           0.110450E+01   0.170747E+01
Variance          0.121993E+01   0.291544E+01
CV                0.974729E-02   0.147385E+01
Skewness         -0.156545E+01   0.603417E+01
Kurtosis          0.157241E+02   0.528828E+02
MaxPost           0.113270E+03   0.517768E-02
