               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.111924E+03   0.498693E+01
Maximum           0.120690E+03   0.124298E+02
Range             0.876600E+01   0.744287E+01
Mean              0.116538E+03   0.731037E+01
Median            0.116541E+03   0.718799E+01
Q10%              0.114801E+03   0.611121E+01
Q25%              0.115656E+03   0.653918E+01
Q75%              0.117434E+03   0.789062E+01
Q90%              0.118310E+03   0.872687E+01
St.Dev.           0.141417E+01   0.108397E+01
Variance          0.199989E+01   0.117498E+01
CV                0.121349E-01   0.148278E+00
Skewness         -0.131146E+00   0.890928E+00
Kurtosis          0.145143E+00   0.160478E+01
MaxPost           0.116588E+03   0.679907E+01
