X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.209190E+00   0.209190E+00   0.994042E+02   0.994042E+02   0.116588E+03  -0.171838E+02  -0.251159E+01
   0.379611E+00   0.379611E+00   0.101879E+03   0.101879E+03   0.116588E+03  -0.147095E+02  -0.212725E+01
   0.545273E+00   0.545273E+00   0.116656E+03   0.116656E+03   0.116588E+03   0.675133E-01   0.922992E-02
   0.799048E+00   0.799048E+00   0.113422E+03   0.113422E+03   0.116588E+03  -0.316574E+01  -0.454185E+00
   0.977788E+00   0.977788E+00   0.112358E+03   0.112358E+03   0.116588E+03  -0.423009E+01  -0.607707E+00
   0.102557E+01   0.102557E+01   0.112068E+03   0.112068E+03   0.116588E+03  -0.452049E+01  -0.618590E+00
   0.118539E+01   0.118539E+01   0.113232E+03   0.113232E+03   0.116588E+03  -0.335621E+01  -0.488651E+00
   0.124733E+01   0.124733E+01   0.113795E+03   0.113795E+03   0.116588E+03  -0.279250E+01  -0.406085E+00
   0.150245E+01   0.150245E+01   0.113889E+03   0.113889E+03   0.116588E+03  -0.269860E+01  -0.387149E+00
   0.208826E+01   0.208826E+01   0.113250E+03   0.113250E+03   0.116588E+03  -0.333844E+01  -0.487679E+00
   0.210001E+01   0.210001E+01   0.111657E+03   0.111657E+03   0.116588E+03  -0.493106E+01  -0.714877E+00
   0.225149E+01   0.225149E+01   0.113118E+03   0.113118E+03   0.116588E+03  -0.347045E+01  -0.506044E+00
   0.225808E+01   0.225808E+01   0.111331E+03   0.111331E+03   0.116588E+03  -0.525680E+01  -0.760947E+00
   0.228026E+01   0.228026E+01   0.111493E+03   0.111493E+03   0.116588E+03  -0.509486E+01  -0.644564E+00
   0.248635E+01   0.248635E+01   0.111483E+03   0.111483E+03   0.116588E+03  -0.510534E+01  -0.745022E+00
   0.253484E+01   0.253484E+01   0.111621E+03   0.111621E+03   0.116588E+03  -0.496742E+01  -0.715981E+00
   0.257547E+01   0.257547E+01   0.118422E+03   0.118422E+03   0.116588E+03   0.183369E+01   0.257170E+00
   0.286435E+01   0.286435E+01   0.125167E+03   0.125167E+03   0.116588E+03   0.857881E+01   0.124351E+01
   0.288246E+01   0.288246E+01   0.125484E+03   0.125484E+03   0.116588E+03   0.889623E+01   0.129684E+01
   0.288978E+01   0.288978E+01   0.123748E+03   0.123748E+03   0.116588E+03   0.716002E+01   0.103627E+01
   0.302262E+01   0.302262E+01   0.124054E+03   0.124054E+03   0.116588E+03   0.746624E+01   0.108850E+01
   0.315698E+01   0.315698E+01   0.123283E+03   0.123283E+03   0.116588E+03   0.669521E+01   0.975622E+00
   0.337621E+01   0.337621E+01   0.126462E+03   0.126462E+03   0.116588E+03   0.987449E+01   0.143692E+01
   0.346276E+01   0.346276E+01   0.124665E+03   0.124665E+03   0.116588E+03   0.807720E+01   0.116111E+01
   0.365801E+01   0.365801E+01   0.126064E+03   0.126064E+03   0.116588E+03   0.947643E+01   0.138230E+01
   0.366736E+01   0.366736E+01   0.124212E+03   0.124212E+03   0.116588E+03   0.762429E+01   0.110914E+01
   0.415298E+01   0.415298E+01   0.118842E+03   0.118842E+03   0.116588E+03   0.225365E+01   0.329404E+00
   0.455412E+01   0.455412E+01   0.119515E+03   0.119515E+03   0.116588E+03   0.292718E+01   0.423623E+00
   0.455877E+01   0.455877E+01   0.117218E+03   0.117218E+03   0.116588E+03   0.630272E+00   0.917163E-01
