               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.948815E+02   0.115986E-02
Maximum           0.978140E+02   0.330628E+01
Range             0.293250E+01   0.330512E+01
Mean              0.962245E+02   0.605604E+00
Median            0.962339E+02   0.497533E+00
Q10%              0.955408E+02   0.921314E-01
Q25%              0.958973E+02   0.240744E+00
Q75%              0.965537E+02   0.855090E+00
Q90%              0.968719E+02   0.125998E+01
St.Dev.           0.503962E+00   0.492365E+00
Variance          0.253977E+00   0.242424E+00
CV                0.523735E-02   0.813016E+00
Skewness         -0.106347E-01   0.142375E+01
Kurtosis         -0.541668E-01   0.282364E+01
MaxPost           0.962028E+02   0.343194E-01
