               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.784267E+02   0.795847E+02   0.820854E+01   0.349381E-02
Maximum           0.833644E+02   0.849163E+02   0.925599E+01   0.241090E+01
Range             0.493770E+01   0.533160E+01   0.104745E+01   0.240741E+01
Mean              0.815230E+02   0.831535E+02   0.895198E+01   0.491918E+00
Median            0.815233E+02   0.831481E+02   0.907922E+01   0.406316E+00
Q10%              0.808829E+02   0.825453E+02   0.854706E+01   0.825747E-01
Q25%              0.811816E+02   0.828399E+02   0.880333E+01   0.202385E+00
Q75%              0.818811E+02   0.834707E+02   0.912264E+01   0.710441E+00
Q90%              0.822083E+02   0.837699E+02   0.916318E+01   0.104446E+01
St.Dev.           0.572144E+00   0.496774E+00   0.246464E+00   0.381469E+00
Variance          0.327349E+00   0.246784E+00   0.607445E-01   0.145519E+00
CV                0.701819E-02   0.597418E-02   0.275318E-01   0.775473E+00
Skewness         -0.576940E+00  -0.609328E+00  -0.120135E+01   0.115096E+01
Kurtosis          0.242287E+01   0.482848E+01   0.405518E+00   0.164402E+01
MaxPost           0.815318E+02   0.833989E+02   0.910823E+01   0.268342E-01
