res1           res2           tau1           Y1_gamma1      LogPost        
   0.818187E+02   0.833135E+02   0.884084E+01   0.773794E+00  -0.256575E+02
   0.811592E+02   0.821972E+02   0.820854E+01   0.285408E+00  -0.270552E+02
   0.818179E+02   0.830016E+02   0.889404E+01   0.547485E-01  -0.248350E+02
   0.816130E+02   0.821231E+02   0.844723E+01   0.953446E+00  -0.277531E+02
   0.824041E+02   0.834611E+02   0.889736E+01   0.157327E+01  -0.290661E+02
   0.814670E+02   0.828477E+02   0.876160E+01   0.396266E+00  -0.248298E+02
   0.810673E+02   0.831267E+02   0.832635E+01   0.111333E+01  -0.275094E+02
   0.796059E+02   0.831267E+02   0.872843E+01   0.538125E+00  -0.303254E+02
   0.822363E+02   0.838198E+02   0.923365E+01   0.505927E+00  -0.267896E+02
   0.814291E+02   0.822937E+02   0.911577E+01   0.326216E+00  -0.256729E+02
   0.819654E+02   0.822548E+02   0.849894E+01   0.836790E+00  -0.272819E+02
   0.822393E+02   0.823136E+02   0.889126E+01   0.106336E+01  -0.279937E+02
   0.804099E+02   0.823809E+02   0.844907E+01   0.422551E+00  -0.273350E+02
   0.833644E+02   0.827008E+02   0.838834E+01   0.150821E+01  -0.303710E+02
   0.814930E+02   0.831599E+02   0.905566E+01   0.714470E-01  -0.250176E+02
   0.809454E+02   0.826359E+02   0.833066E+01   0.916987E+00  -0.268011E+02
   0.805118E+02   0.828735E+02   0.906689E+01   0.115233E+00  -0.258329E+02
   0.807412E+02   0.837879E+02   0.910522E+01   0.115233E+00  -0.245986E+02
   0.818762E+02   0.829967E+02   0.908312E+01   0.154909E+00  -0.228598E+02
   0.814751E+02   0.834594E+02   0.913158E+01   0.135432E+00  -0.221916E+02
   0.819010E+02   0.836509E+02   0.913158E+01   0.105099E+01  -0.253532E+02
   0.819882E+02   0.832293E+02   0.913158E+01   0.242558E+00  -0.228887E+02
   0.810893E+02   0.827807E+02   0.902128E+01   0.796128E+00  -0.260687E+02
   0.808479E+02   0.828455E+02   0.857654E+01   0.515332E+00  -0.255133E+02
   0.824791E+02   0.821478E+02   0.896199E+01   0.621706E+00  -0.284642E+02
   0.812364E+02   0.832551E+02   0.853651E+01   0.415151E+00  -0.256249E+02
   0.812026E+02   0.832718E+02   0.906649E+01   0.144874E+00  -0.224672E+02
   0.815122E+02   0.832632E+02   0.906166E+01   0.217705E+00  -0.251847E+02
   0.810221E+02   0.834951E+02   0.909655E+01   0.194759E+00  -0.230039E+02
   0.814581E+02   0.831613E+02   0.909655E+01   0.800746E+00  -0.240783E+02
   0.807770E+02   0.826466E+02   0.909655E+01   0.341085E+00  -0.253663E+02
   0.820275E+02   0.836448E+02   0.857543E+01   0.388311E+00  -0.278650E+02
   0.816460E+02   0.827210E+02   0.902580E+01   0.215267E+00  -0.249439E+02
   0.812546E+02   0.826219E+02   0.859232E+01   0.111104E-01  -0.249945E+02
   0.818616E+02   0.831128E+02   0.877160E+01   0.453809E+00  -0.252045E+02
   0.814802E+02   0.835681E+02   0.906725E+01   0.417310E+00  -0.227175E+02
   0.807154E+02   0.825198E+02   0.906725E+01   0.283252E-01  -0.261623E+02
   0.826638E+02   0.830302E+02   0.893786E+01   0.138924E+01  -0.287250E+02
   0.811799E+02   0.832559E+02   0.858414E+01   0.676453E+00  -0.258056E+02
   0.813164E+02   0.834246E+02   0.870589E+01   0.731112E+00  -0.259286E+02
   0.818669E+02   0.835876E+02   0.910385E+01   0.458220E+00  -0.231190E+02
   0.810134E+02   0.830956E+02   0.910385E+01   0.227098E+00  -0.231713E+02
   0.817975E+02   0.835971E+02   0.910385E+01   0.137400E+00  -0.225599E+02
   0.816677E+02   0.832691E+02   0.903833E+01   0.118801E+01  -0.268415E+02
   0.814688E+02   0.834490E+02   0.917073E+01   0.106481E+01  -0.255030E+02
   0.814109E+02   0.833756E+02   0.910706E+01   0.142288E+01  -0.269596E+02
   0.809391E+02   0.834233E+02   0.910706E+01   0.479568E+00  -0.236011E+02
   0.819987E+02   0.829856E+02   0.880918E+01   0.115665E+01  -0.269848E+02
   0.813625E+02   0.827381E+02   0.854143E+01   0.880738E+00  -0.259701E+02
   0.816401E+02   0.827214E+02   0.851209E+01   0.891754E+00  -0.260909E+02
   0.821309E+02   0.820564E+02   0.874714E+01   0.911142E-01  -0.282495E+02
   0.826041E+02   0.824845E+02   0.827314E+01   0.284672E+00  -0.272107E+02
   0.810550E+02   0.834578E+02   0.863049E+01   0.486119E+00  -0.261705E+02
   0.814624E+02   0.831947E+02   0.910549E+01   0.486119E+00  -0.228884E+02
   0.819578E+02   0.838857E+02   0.916901E+01   0.551001E+00  -0.242525E+02
   0.816526E+02   0.837959E+02   0.916901E+01   0.660884E+00  -0.240771E+02
   0.812956E+02   0.838257E+02   0.916901E+01   0.867254E+00  -0.250235E+02
   0.811593E+02   0.827728E+02   0.916152E+01   0.662103E-01  -0.240330E+02
   0.813567E+02   0.834306E+02   0.910896E+01   0.259505E+00  -0.223852E+02
   0.820197E+02   0.837928E+02   0.914745E+01   0.259505E+00  -0.237755E+02
   0.802894E+02   0.837577E+02   0.907389E+01   0.238295E+00  -0.270810E+02
   0.826935E+02   0.833058E+02   0.907248E+01   0.801100E+00  -0.265112E+02
   0.815950E+02   0.837590E+02   0.916264E+01   0.844038E+00  -0.246641E+02
   0.804885E+02   0.833440E+02   0.905345E+01   0.844038E+00  -0.275363E+02
   0.784267E+02   0.828277E+02   0.822228E+01   0.134009E+01  -0.289104E+02
   0.794347E+02   0.825405E+02   0.822228E+01   0.102897E+01  -0.275061E+02
   0.814895E+02   0.824661E+02   0.909156E+01   0.260758E+00  -0.246074E+02
   0.817034E+02   0.837171E+02   0.912178E+01   0.468394E+00  -0.231206E+02
   0.826161E+02   0.831361E+02   0.874437E+01   0.309141E+00  -0.270809E+02
   0.812326E+02   0.829773E+02   0.887832E+01   0.227095E+00  -0.251348E+02
   0.815290E+02   0.828981E+02   0.890140E+01   0.346962E+00  -0.248418E+02
   0.821761E+02   0.829797E+02   0.916377E+01   0.249736E+00  -0.240011E+02
   0.817109E+02   0.827680E+02   0.865645E+01   0.997130E-01  -0.248342E+02
   0.812775E+02   0.827680E+02   0.907151E+01   0.380565E+00  -0.236624E+02
   0.818470E+02   0.830071E+02   0.890833E+01   0.446739E+00  -0.249610E+02
   0.821832E+02   0.821699E+02   0.921443E+01   0.128761E+01  -0.289657E+02
   0.818268E+02   0.834494E+02   0.852384E+01   0.522788E+00  -0.264614E+02
   0.815393E+02   0.834541E+02   0.910091E+01   0.971958E+00  -0.246986E+02
