               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.696930E+00   0.125673E+02   0.415550E+01   0.115593E+00
Maximum           0.621130E+03   0.424088E+03   0.455847E+01   0.395012E+03
Range             0.620433E+03   0.411521E+03   0.402970E+00   0.394896E+03
Mean              0.126418E+03   0.123131E+03   0.436087E+01   0.386917E+02
Median            0.118911E+03   0.118338E+03   0.436340E+01   0.139253E+02
Q10%              0.800783E+02   0.993118E+02   0.419451E+01   0.231265E+01
Q25%              0.111341E+03   0.112787E+03   0.425636E+01   0.479428E+01
Q75%              0.127226E+03   0.123977E+03   0.446174E+01   0.420185E+02
Q90%              0.157460E+03   0.156614E+03   0.452283E+01   0.119593E+03
St.Dev.           0.639766E+02   0.382059E+02   0.118738E+00   0.609787E+02
Variance          0.409301E+04   0.145969E+04   0.140988E-01   0.371840E+04
CV                0.506073E+00   0.310286E+00   0.272281E-01   0.157601E+01
Skewness          0.350314E+01   0.219973E+01  -0.418652E-01   0.291949E+01
Kurtosis          0.174364E+02   0.119862E+02  -0.125682E+01   0.101319E+02
MaxPost           0.119444E+03   0.118100E+03   0.448461E+01   0.273286E+00
