               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.101437E+03   0.287809E-02
Maximum           0.106110E+03   0.498737E+01
Range             0.467300E+01   0.498449E+01
Mean              0.103972E+03   0.872930E+00
Median            0.104016E+03   0.716871E+00
Q10%              0.103183E+03   0.162817E+00
Q25%              0.103604E+03   0.373591E+00
Q75%              0.104333E+03   0.121410E+01
Q90%              0.104689E+03   0.180105E+01
St.Dev.           0.619305E+00   0.678005E+00
Variance          0.383539E+00   0.459690E+00
CV                0.595644E-02   0.776700E+00
Skewness         -0.357801E+00   0.147358E+01
Kurtosis          0.126446E+01   0.370207E+01
MaxPost           0.104070E+03   0.838726E-01
