               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.718308E+02   0.667828E+02   0.273836E+00   0.121595E-02
Maximum           0.109352E+03   0.114810E+03   0.717596E+00   0.403898E+02
Range             0.375212E+02   0.480272E+02   0.443760E+00   0.403886E+02
Mean              0.994913E+02   0.997084E+02   0.498718E+00   0.208318E+01
Median            0.998574E+02   0.997647E+02   0.501698E+00   0.971464E+00
Q10%              0.982305E+02   0.978329E+02   0.306304E+00   0.144307E+00
Q25%              0.991947E+02   0.988787E+02   0.381876E+00   0.458792E+00
Q75%              0.100366E+03   0.100552E+03   0.616402E+00   0.210242E+01
Q90%              0.100999E+03   0.101477E+03   0.681221E+00   0.405768E+01
St.Dev.           0.293563E+01   0.258015E+01   0.133636E+00   0.415828E+01
Variance          0.861794E+01   0.665717E+01   0.178585E-01   0.172913E+02
CV                0.295064E-01   0.258770E-01   0.267958E+00   0.199612E+01
Skewness         -0.564602E+01  -0.319023E+01  -0.304490E-01   0.571623E+01
Kurtosis          0.439161E+02   0.582721E+02  -0.127938E+01   0.384234E+02
MaxPost           0.996198E+02   0.100131E+03   0.345380E+00   0.222451E+00
