               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.980242E+02   0.355391E-02
Maximum           0.102520E+03   0.442607E+01
Range             0.449580E+01   0.442252E+01
Mean              0.100238E+03   0.837005E+00
Median            0.100209E+03   0.688650E+00
Q10%              0.994062E+02   0.123626E+00
Q25%              0.997716E+02   0.287014E+00
Q75%              0.100713E+03   0.111991E+01
Q90%              0.101104E+03   0.181403E+01
St.Dev.           0.703433E+00   0.707548E+00
Variance          0.494818E+00   0.500624E+00
CV                0.701763E-02   0.845333E+00
Skewness         -0.665243E-02   0.145632E+01
Kurtosis          0.275107E+00   0.254081E+01
MaxPost           0.100275E+03   0.355391E-02
