               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.962912E+02   0.994315E+02   0.461492E+01   0.428254E-02
Maximum           0.109356E+03   0.109291E+03   0.757930E+01   0.690971E+01
Range             0.130648E+02   0.985950E+01   0.296438E+01   0.690543E+01
Mean              0.103463E+03   0.104021E+03   0.598014E+01   0.103448E+01
Median            0.103779E+03   0.104085E+03   0.576295E+01   0.850853E+00
Q10%              0.101294E+03   0.102850E+03   0.483580E+01   0.188377E+00
Q25%              0.102607E+03   0.103533E+03   0.514885E+01   0.413636E+00
Q75%              0.104450E+03   0.104493E+03   0.688187E+01   0.144538E+01
Q90%              0.105141E+03   0.105148E+03   0.730845E+01   0.197227E+01
St.Dev.           0.160992E+01   0.100897E+01   0.919921E+00   0.862561E+00
Variance          0.259184E+01   0.101802E+01   0.846255E+00   0.744012E+00
CV                0.155604E-01   0.969970E-02   0.153829E+00   0.833811E+00
Skewness         -0.618393E+00  -0.100535E+00   0.189593E+00   0.225866E+01
Kurtosis          0.159746E+01   0.341409E+01  -0.137256E+01   0.945426E+01
MaxPost           0.104297E+03   0.103620E+03   0.698291E+01   0.865317E-01
