               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.993286E+02   0.836802E-04
Maximum           0.100717E+03   0.121507E+01
Range             0.138840E+01   0.121499E+01
Mean              0.999493E+02   0.296778E+00
Median            0.999514E+02   0.246539E+00
Q10%              0.996860E+02   0.482368E-01
Q25%              0.998176E+02   0.123550E+00
Q75%              0.100077E+03   0.418940E+00
Q90%              0.100206E+03   0.617201E+00
St.Dev.           0.209110E+00   0.224069E+00
Variance          0.437271E-01   0.502069E-01
CV                0.209216E-02   0.755005E+00
Skewness          0.350140E-01   0.999813E+00
Kurtosis          0.631989E+00   0.864660E+00
MaxPost           0.999462E+02   0.460757E-02
