               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.109063E+03   0.916130E+02   0.974877E+01   0.149136E-03
Maximum           0.110640E+03   0.975929E+02   0.998783E+01   0.174717E+01
Range             0.157700E+01   0.597990E+01   0.239060E+00   0.174702E+01
Mean              0.109852E+03   0.944181E+02   0.987004E+01   0.448035E+00
Median            0.109856E+03   0.943587E+02   0.986732E+01   0.414748E+00
Q10%              0.109573E+03   0.934326E+02   0.977957E+01   0.925903E-01
Q25%              0.109701E+03   0.939444E+02   0.981112E+01   0.210589E+00
Q75%              0.109988E+03   0.949467E+02   0.992739E+01   0.622555E+00
Q90%              0.110136E+03   0.954235E+02   0.996074E+01   0.861817E+00
St.Dev.           0.231725E+00   0.787492E+00   0.670584E-01   0.299667E+00
Variance          0.536967E-01   0.620144E+00   0.449683E-02   0.898001E-01
CV                0.210943E-02   0.834048E-02   0.679414E-02   0.668847E+00
Skewness         -0.877191E-02   0.164375E+00  -0.224315E-02   0.810141E+00
Kurtosis          0.686985E+00   0.785332E+00  -0.118958E+01   0.633910E+00
MaxPost           0.109868E+03   0.942423E+02   0.996213E+01   0.474533E-01
