               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.880992E+02   0.886874E+01
Maximum           0.956130E+02   0.138913E+02
Range             0.751380E+01   0.502256E+01
Mean              0.924165E+02   0.109732E+02
Median            0.924499E+02   0.109190E+02
Q10%              0.909836E+02   0.999836E+01
Q25%              0.917150E+02   0.104174E+02
Q75%              0.931827E+02   0.115024E+02
Q90%              0.938553E+02   0.119902E+02
St.Dev.           0.114164E+01   0.790580E+00
Variance          0.130334E+01   0.625017E+00
CV                0.123532E-01   0.720465E-01
Skewness         -0.251347E+00   0.384716E+00
Kurtosis          0.340914E+00   0.178635E+00
MaxPost           0.924440E+02   0.107926E+02
