               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.928695E+02   0.742051E-01
Maximum           0.967434E+02   0.420896E+01
Range             0.387390E+01   0.413475E+01
Mean              0.947222E+02   0.188518E+01
Median            0.947267E+02   0.182871E+01
Q10%              0.940007E+02   0.120629E+01
Q25%              0.943320E+02   0.147379E+01
Q75%              0.950699E+02   0.223531E+01
Q90%              0.954629E+02   0.270099E+01
St.Dev.           0.605248E+00   0.620936E+00
Variance          0.366325E+00   0.385561E+00
CV                0.638971E-02   0.329378E+00
Skewness          0.583633E-01   0.521312E+00
Kurtosis          0.706142E+00   0.108234E+01
MaxPost           0.946888E+02   0.158504E+01
