               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.974434E+02   0.110982E+03   0.380199E+00   0.360364E-02
Maximum           0.102978E+03   0.114564E+03   0.544888E+00   0.218364E+01
Range             0.553460E+01   0.358200E+01   0.164689E+00   0.218004E+01
Mean              0.100158E+03   0.112722E+03   0.460812E+00   0.551771E+00
Median            0.100108E+03   0.112708E+03   0.456349E+00   0.493225E+00
Q10%              0.991093E+02   0.112252E+03   0.397128E+00   0.142659E+00
Q25%              0.996288E+02   0.112489E+03   0.416676E+00   0.282267E+00
Q75%              0.100739E+03   0.112961E+03   0.505240E+00   0.749381E+00
Q90%              0.101206E+03   0.113196E+03   0.528088E+00   0.105126E+01
St.Dev.           0.837157E+00   0.394382E+00   0.489199E-01   0.359333E+00
Variance          0.700831E+00   0.155537E+00   0.239315E-02   0.129120E+00
CV                0.835840E-02   0.349872E-02   0.106160E+00   0.651235E+00
Skewness          0.785889E-01   0.191521E-01   0.107492E+00   0.887093E+00
Kurtosis          0.438833E+00   0.144206E+01  -0.130661E+01   0.782226E+00
MaxPost           0.100113E+03   0.112736E+03   0.429954E+00   0.143169E+00
