               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.584665E+02   0.695557E+02   0.396310E+01   0.584986E-03
Maximum           0.850590E+02   0.792792E+02   0.559669E+01   0.378364E+01
Range             0.265925E+02   0.972350E+01   0.163359E+01   0.378306E+01
Mean              0.750241E+02   0.746560E+02   0.458253E+01   0.716314E+00
Median            0.754942E+02   0.746302E+02   0.446894E+01   0.615806E+00
Q10%              0.718664E+02   0.738380E+02   0.407718E+01   0.138893E+00
Q25%              0.747656E+02   0.742165E+02   0.423256E+01   0.334901E+00
Q75%              0.763083E+02   0.750226E+02   0.480201E+01   0.944883E+00
Q90%              0.771506E+02   0.753922E+02   0.535895E+01   0.144001E+01
St.Dev.           0.293880E+01   0.906167E+00   0.448290E+00   0.529868E+00
Variance          0.863657E+01   0.821139E+00   0.200964E+00   0.280760E+00
CV                0.391715E-01   0.121379E-01   0.978259E-01   0.739714E+00
Skewness         -0.213151E+01   0.914097E+00   0.790907E+00   0.142797E+01
Kurtosis          0.784875E+01   0.903668E+01  -0.376726E+00   0.354071E+01
MaxPost           0.760834E+02   0.742673E+02   0.443173E+01   0.270663E-02
