               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.110250E+03   0.111243E+03   0.591321E+01   0.228323E-02
Maximum           0.117593E+03   0.118528E+03   0.895946E+01   0.236499E+01
Range             0.734300E+01   0.728500E+01   0.304625E+01   0.236271E+01
Mean              0.113401E+03   0.114070E+03   0.734543E+01   0.645623E+00
Median            0.113558E+03   0.113951E+03   0.714183E+01   0.601249E+00
Q10%              0.112410E+03   0.113416E+03   0.611375E+01   0.143255E+00
Q25%              0.113088E+03   0.113712E+03   0.647086E+01   0.307065E+00
Q75%              0.113840E+03   0.114254E+03   0.830596E+01   0.893235E+00
Q90%              0.114144E+03   0.114692E+03   0.885873E+01   0.122344E+01
St.Dev.           0.778987E+00   0.855543E+00   0.101903E+01   0.419207E+00
Variance          0.606821E+00   0.731954E+00   0.103842E+01   0.175734E+00
CV                0.686932E-02   0.750017E-02   0.138730E+00   0.649306E+00
Skewness         -0.875543E+00   0.199246E+01   0.258112E+00   0.728792E+00
Kurtosis          0.373944E+01   0.819834E+01  -0.139940E+01   0.475881E+00
MaxPost           0.112985E+03   0.113897E+03   0.665640E+01   0.151479E+00
