               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.691461E+02   0.864412E+02   0.506276E-01   0.238150E-02
Maximum           0.120060E+03   0.119664E+03   0.111923E+01   0.311806E+02
Range             0.509139E+02   0.332228E+02   0.106860E+01   0.311782E+02
Mean              0.997920E+02   0.100274E+03   0.599648E+00   0.343464E+01
Median            0.100007E+03   0.100424E+03   0.595911E+00   0.267688E+01
Q10%              0.961780E+02   0.972695E+02   0.164087E+00   0.811154E+00
Q25%              0.984426E+02   0.990160E+02   0.316986E+00   0.155337E+01
Q75%              0.101600E+03   0.101593E+03   0.884546E+00   0.432906E+01
Q90%              0.103214E+03   0.103040E+03   0.104550E+01   0.660895E+01
St.Dev.           0.395103E+01   0.303299E+01   0.315836E+00   0.315692E+01
Variance          0.156107E+02   0.919905E+01   0.997526E-01   0.996616E+01
CV                0.395927E-01   0.302471E-01   0.526702E+00   0.919143E+00
Skewness         -0.167069E+01   0.522689E+00   0.263846E-01   0.338262E+01
Kurtosis          0.141609E+02   0.734174E+01  -0.125263E+01   0.193428E+02
MaxPost           0.100485E+03   0.989065E+02   0.105612E+01   0.361480E+00
