res1           Y1_gamma1      LogPost        
   0.117798E+03   0.796001E-01  -0.119257E+02
   0.117450E+03   0.755345E+00  -0.122842E+02
   0.117531E+03   0.305622E+00  -0.115959E+02
   0.116573E+03   0.380415E+00  -0.129443E+02
   0.117836E+03   0.936135E+00  -0.131141E+02
   0.117483E+03   0.230962E+00  -0.114747E+02
   0.116566E+03   0.468274E+00  -0.130064E+02
   0.117492E+03   0.630221E+00  -0.120624E+02
   0.117413E+03   0.197089E+01  -0.151178E+02
   0.118231E+03   0.194909E+01  -0.157189E+02
   0.117380E+03   0.173145E+01  -0.145462E+02
   0.117250E+03   0.366243E+00  -0.115705E+02
   0.117585E+03   0.704350E+00  -0.122931E+02
   0.118310E+03   0.556543E+00  -0.140382E+02
   0.117168E+03   0.106937E+00  -0.113991E+02
   0.116631E+03   0.173434E+01  -0.148776E+02
   0.117447E+03   0.689393E+00  -0.121476E+02
   0.117599E+03   0.918847E+00  -0.127520E+02
   0.116702E+03   0.975598E+00  -0.132571E+02
   0.117924E+03   0.253077E+01  -0.165773E+02
   0.116783E+03   0.260884E+01  -0.166329E+02
   0.116087E+03   0.290412E+01  -0.176709E+02
   0.117748E+03   0.157836E+01  -0.143827E+02
   0.117022E+03   0.119214E+00  -0.115919E+02
   0.116848E+03   0.346532E+00  -0.120932E+02
   0.118387E+03   0.142553E+01  -0.151168E+02
   0.116433E+03   0.120770E+01  -0.141795E+02
   0.117416E+03   0.278386E+00  -0.114768E+02
   0.116292E+03   0.536824E+00  -0.141120E+02
   0.117889E+03   0.680618E+00  -0.127698E+02
   0.117874E+03   0.123773E+00  -0.121510E+02
   0.116928E+03   0.100244E+01  -0.129824E+02
   0.116833E+03   0.524089E+00  -0.123086E+02
   0.117167E+03   0.652949E+00  -0.120725E+02
   0.117217E+03   0.989376E+00  -0.127654E+02
   0.117404E+03   0.112969E+00  -0.113459E+02
   0.117389E+03   0.474700E+00  -0.117299E+02
   0.117652E+03   0.874714E+00  -0.127166E+02
   0.117717E+03   0.439075E+00  -0.120425E+02
