               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.115549E+03   0.380404E-02
Maximum           0.119442E+03   0.292836E+01
Range             0.389300E+01   0.292456E+01
Mean              0.117326E+03   0.646388E+00
Median            0.117351E+03   0.516398E+00
Q10%              0.116605E+03   0.100854E+00
Q25%              0.117013E+03   0.224745E+00
Q75%              0.117660E+03   0.920650E+00
Q90%              0.117991E+03   0.128581E+01
St.Dev.           0.549875E+00   0.528861E+00
Variance          0.302362E+00   0.279694E+00
CV                0.468673E-02   0.818180E+00
Skewness         -0.127023E+00   0.139454E+01
Kurtosis          0.648550E+00   0.246565E+01
MaxPost           0.117348E+03   0.190253E-01
