               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.863050E+02   0.963146E-02
Maximum           0.142102E+03   0.602396E+02
Range             0.557970E+02   0.602300E+02
Mean              0.118334E+03   0.365617E+01
Median            0.118512E+03   0.158074E+01
Q10%              0.116410E+03   0.247839E+00
Q25%              0.117721E+03   0.673030E+00
Q75%              0.119320E+03   0.320097E+01
Q90%              0.120334E+03   0.844663E+01
St.Dev.           0.375559E+01   0.696272E+01
Variance          0.141045E+02   0.484794E+02
CV                0.317371E-01   0.190437E+01
Skewness         -0.147580E+01   0.441612E+01
Kurtosis          0.236280E+02   0.234778E+02
MaxPost           0.118455E+03   0.116683E+00
