res1           Y1_gamma1      LogPost        
   0.119709E+03   0.250166E+00  -0.631894E+01
   0.117748E+03   0.980366E+00  -0.485219E+01
   0.118393E+03   0.880348E+00  -0.434807E+01
   0.117911E+03   0.454809E+00  -0.449770E+01
   0.117277E+03   0.269393E+01  -0.636937E+01
   0.115756E+03   0.247073E+01  -0.749161E+01
   0.116763E+03   0.175196E+01  -0.630995E+01
   0.120287E+03   0.216489E+01  -0.644363E+01
   0.119490E+03   0.121105E+01  -0.526303E+01
   0.117638E+03   0.134660E+01  -0.517427E+01
   0.117638E+03   0.210229E+01  -0.575475E+01
   0.119103E+03   0.349438E+01  -0.677465E+01
   0.116558E+03   0.478088E+01  -0.781639E+01
   0.120800E+03   0.137136E+02  -0.106686E+02
   0.115060E+03   0.837204E+01  -0.942599E+01
   0.117695E+03   0.288238E+01  -0.636165E+01
   0.118753E+03   0.118284E+00  -0.407663E+01
   0.117185E+03   0.181223E+01  -0.586511E+01
   0.117185E+03   0.272031E+01  -0.642984E+01
   0.120911E+03   0.313140E+01  -0.725405E+01
   0.120356E+03   0.159537E+01  -0.650398E+01
   0.117315E+03   0.104251E+01  -0.548865E+01
   0.118890E+03   0.448163E+00  -0.427585E+01
   0.119314E+03   0.204775E+01  -0.568328E+01
   0.118328E+03   0.270457E+01  -0.610856E+01
   0.117901E+03   0.864656E+00  -0.462727E+01
   0.117024E+03   0.905388E+00  -0.616596E+01
   0.118857E+03   0.104914E+01  -0.459130E+01
   0.119277E+03   0.272637E+01  -0.622561E+01
   0.116953E+03   0.146604E+01  -0.604174E+01
   0.116915E+03   0.197956E+01  -0.619522E+01
   0.110851E+03   0.160311E+02  -0.114341E+02
   0.118915E+03   0.719810E+01  -0.873850E+01
   0.125607E+03   0.828674E+01  -0.102229E+02
   0.106075E+03   0.106193E+02  -0.119133E+02
   0.120313E+03   0.217941E+02  -0.120180E+02
   0.119769E+03   0.344176E+01  -0.687966E+01
   0.119295E+03   0.166578E+01  -0.536247E+01
   0.120669E+03   0.166578E+01  -0.698547E+01
   0.117827E+03   0.282851E+01  -0.628686E+01
   0.116123E+03   0.218696E+01  -0.709951E+01
   0.114834E+03   0.346685E+01  -0.827448E+01
   0.116334E+03   0.427696E+01  -0.764076E+01
   0.119359E+03   0.291301E+01  -0.639279E+01
   0.119359E+03   0.426964E+00  -0.509436E+01
   0.119359E+03   0.446377E+00  -0.508603E+01
   0.118907E+03   0.775550E+00  -0.443152E+01
   0.117129E+03   0.237778E+01  -0.623693E+01
   0.116640E+03   0.238663E+01  -0.659750E+01
   0.116687E+03   0.894085E+00  -0.711644E+01
   0.118425E+03   0.878354E+00  -0.434228E+01
   0.118425E+03   0.603670E-01  -0.396495E+01
   0.118425E+03   0.493060E+00  -0.408026E+01
   0.119001E+03   0.493060E+00  -0.442291E+01
   0.119541E+03   0.109794E+01  -0.530419E+01
   0.119395E+03   0.110855E+01  -0.511072E+01
   0.118838E+03   0.135684E+01  -0.485698E+01
   0.119040E+03   0.214213E+01  -0.566229E+01
   0.118428E+03   0.381053E+00  -0.403109E+01
   0.120483E+03   0.253389E+01  -0.673751E+01
   0.118519E+03   0.352206E+01  -0.675597E+01
   0.119272E+03   0.572739E+00  -0.486637E+01
   0.121284E+03   0.308332E+01  -0.751299E+01
   0.119354E+03   0.268160E+01  -0.621241E+01
   0.119716E+03   0.160013E+01  -0.567012E+01
   0.118736E+03   0.499912E+00  -0.416155E+01
   0.118736E+03   0.499912E+00  -0.416155E+01
   0.120018E+03   0.269358E+01  -0.650489E+01
   0.118263E+03   0.723016E+00  -0.426684E+01
   0.119252E+03   0.227601E+00  -0.490386E+01
   0.118485E+03   0.236508E+01  -0.579733E+01
   0.116634E+03   0.283068E+00  -0.926883E+01
   0.118420E+03   0.232215E+01  -0.575894E+01
   0.119327E+03   0.670509E-01  -0.513443E+01
   0.118819E+03   0.954940E-01  -0.413954E+01
   0.117998E+03   0.954940E-01  -0.436715E+01
   0.117998E+03   0.954940E-01  -0.436715E+01
   0.117998E+03   0.507161E+00  -0.438421E+01
   0.118086E+03   0.272079E+00  -0.424119E+01
   0.119773E+03   0.100628E+01  -0.571149E+01
   0.119426E+03   0.190260E+01  -0.562708E+01
   0.118516E+03   0.116578E+01  -0.460314E+01
   0.120541E+03   0.334780E+01  -0.712939E+01
   0.122948E+03   0.444652E+01  -0.879048E+01
   0.119770E+03   0.162730E+01  -0.573791E+01
   0.120021E+03   0.202776E+01  -0.614905E+01
   0.118833E+03   0.170405E+01  -0.519174E+01
   0.118983E+03   0.284639E+00  -0.437106E+01
   0.118983E+03   0.108703E+00  -0.436542E+01
   0.118989E+03   0.121779E+01  -0.480649E+01
   0.119622E+03   0.117187E+01  -0.543076E+01
   0.119566E+03   0.130031E+01  -0.538586E+01
   0.118879E+03   0.839571E+00  -0.444958E+01
   0.118879E+03   0.138013E+01  -0.489458E+01
   0.119971E+03   0.965565E+01  -0.962403E+01
   0.115680E+03   0.375979E+01  -0.772296E+01
   0.117719E+03   0.279567E+01  -0.628779E+01
   0.117405E+03   0.142239E+01  -0.545139E+01
   0.118289E+03   0.444052E+00  -0.410393E+01
   0.117043E+03   0.840186E+00  -0.618781E+01
   0.118141E+03   0.151360E-01  -0.416400E+01
   0.118141E+03   0.151360E-01  -0.416400E+01
   0.118583E+03   0.151360E-01  -0.396986E+01
   0.119247E+03   0.256176E+01  -0.608430E+01
   0.120880E+03   0.184926E+01  -0.721715E+01
   0.119039E+03   0.150996E+00  -0.446116E+01
   0.119660E+03   0.150996E+00  -0.621435E+01
   0.117001E+03   0.443352E+01  -0.753496E+01
   0.119693E+03   0.407137E+01  -0.725522E+01
   0.120219E+03   0.544974E+01  -0.808059E+01
