"res1"	"Y1_gamma1"	"LogPost"
100.092	0.391731	-30.1396
100.314	0.456263	-29.8343
100.237	0.243075	-29.4943
100.227	0.257628	-29.5323
100.4	0.0744031	-29.257
100.156	0.00613992	-29.5479
100.535	0.146203	-29.578
100.371	0.158316	-29.2975
99.8642	0.576853	-31.5819
100.848	0.752062	-32.1279
100.431	0.597749	-30.2909
100.648	0.440579	-30.4323
99.9266	0.38794	-30.9457
99.8718	0.960264	-32.5582
100.753	0.644622	-31.3784
100.439	0.0256309	-29.2903
100.255	0.615261	-30.3447
99.7756	0.207551	-32.0683
99.9326	0.36701	-30.8876
100.409	0.418075	-29.7618
100.526	1.20132	-32.8827
100.559	0.021616	-29.604
100.494	0.612863	-30.4319
100.445	1.60015	-34.7855
99.3571	1.98418	-38.3857
100.438	0.295787	-29.5437
100.371	0.768147	-30.8572
100.636	0.343161	-30.2063
100.636	0.653257	-30.9284
100.052	0.85261	-31.5723
100.052	0.376582	-30.2727
100.656	0.484835	-30.5606
100.261	0.583048	-30.2355
100.402	0.124549	-29.2883
100.194	0.552738	-30.2389
100.319	0.720277	-30.6726
100.32	0.718607	-30.6662
100.27	0.52305	-30.0466
100.397	0.532801	-30.0606
100.218	0.11717	-29.4092
100.582	0.637452	-30.7117
100.549	0.61201	-30.5456
100.263	0.973858	-31.7327
100.339	0.682236	-30.5315
100.211	0.694648	-30.6673
100.427	0.337957	-29.6063
100.523	0.414582	-29.951
100.42	0.117228	-29.3025
99.8731	0.651673	-31.675
100.186	0.349864	-29.7732
100.222	0.073535	-29.3781
100.171	0.351885	-29.8148
100.237	0.612791	-30.3566
100.291	0.254002	-29.4367
100.539	0.202418	-29.6436
99.8887	0.655838	-31.6022
100.639	0.00639021	-29.9529
100.499	0.00639021	-29.4144
100.401	0.114292	-29.2805
100.368	0.794567	-30.9596
100.265	0.085907	-29.3032
100.306	0.00309525	-29.2352
100.53	0.521703	-30.2353
100.294	0.260718	-29.4439
99.9808	0.137676	-30.4371
100.41	0.0761011	-29.2676
100.538	0.365743	-29.8897
100.493	0.980765	-31.8395
100.265	0.269917	-29.49
100.259	0.582977	-30.2377
100.05	0.138228	-30.0444
100.287	0.037969	-29.258
100.153	0.152181	-29.6133
100.609	0.137111	-29.8519
100.739	0.208331	-30.6139
100.403	0.0866989	-29.2655
100.403	0.271648	-29.4627
100.447	0.364826	-29.6885
100.649	0.347223	-30.271
100.649	0.406155	-30.3722
100.271	0.797445	-30.9893
100.267	0.459858	-29.878
100.844	0.79902	-32.2281
100.158	0.37192	-29.8882
100.623	0.0181903	-29.8709
101.059	0.90022	-33.6973
100.487	0.241933	-29.5497
100.376	0.248123	-29.4083
100.197	0.248123	-29.5852
100.197	0.505049	-30.101
100.217	0.274245	-29.5768
99.6991	0.0510242	-32.9312
100.202	0.239641	-29.5623
100.399	0.240816	-29.4122
100.238	0.618331	-30.3734
100.548	0.553263	-30.3699
100.127	0.66366	-30.7246
100.603	0.44441	-30.2652
99.9681	0.499492	-30.8788
99.9069	0.512137	-31.2279
100.306	0.00247428	-29.2352
100.471	0.210324	-29.4752
99.9212	0.696025	-31.5413
100.228	0.469842	-29.9559
100.285	0.0733553	-29.2715
100.484	0.473446	-30.007
100.585	0.213908	-29.8172
100.582	0.0388792	-29.6936
99.8805	0.373575	-31.2333
100.874	0.137589	-31.6321
100.142	0.354483	-29.9018
100.354	0.629495	-30.349
99.9601	0.202486	-30.5951
100.136	0.697485	-30.8147
100.208	0.918491	-31.5421
100.695	0.0902272	-30.2758
100.643	0.0985181	-29.9918
100.349	0.353386	-29.5881
100.501	0.353386	-29.7695
100.148	0.441075	-30.0576
100.192	1.29089	-33.2668
100.272	0.22378	-29.4152
100.207	0.22378	-29.532
100.653	0.10489	-30.045
100.673	0.801101	-31.5287
100.362	0.297823	-29.4838
100.019	0.0243532	-30.1828
100.832	0.088026	-31.2629
100.468	1.06573	-32.1899
100.435	0.0501269	-29.29
