               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.993509E+02   0.851625E+02   0.617694E+01   0.195608E+01
Maximum           0.101481E+03   0.991075E+02   0.684323E+01   0.387179E+01
Range             0.213010E+01   0.139450E+02   0.666290E+00   0.191571E+01
Mean              0.100453E+03   0.929356E+02   0.637183E+01   0.276139E+01
Median            0.100472E+03   0.930364E+02   0.635071E+01   0.272048E+01
Q10%              0.999574E+02   0.905425E+02   0.632038E+01   0.233429E+01
Q25%              0.100180E+03   0.915986E+02   0.633149E+01   0.250933E+01
Q75%              0.100712E+03   0.940938E+02   0.636875E+01   0.298287E+01
Q90%              0.100946E+03   0.951805E+02   0.638134E+01   0.323887E+01
St.Dev.           0.382694E+00   0.192337E+01   0.939806E-01   0.349958E+00
Variance          0.146454E+00   0.369934E+01   0.883235E-02   0.122471E+00
CV                0.380968E-02   0.206957E-01   0.147494E-01   0.126733E+00
Skewness         -0.117975E+00  -0.105521E+00   0.341768E+01   0.465689E+00
Kurtosis         -0.221575E+00   0.869248E+00   0.114966E+02   0.354294E-01
MaxPost           0.100463E+03   0.931120E+02   0.637358E+01   0.265540E+01
