               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.593345E+02   0.337467E+01
Maximum           0.115826E+03   0.558140E+02
Range             0.564915E+02   0.524393E+02
Mean              0.833452E+02   0.122216E+02
Median            0.837626E+02   0.995663E+01
Q10%              0.763188E+02   0.600699E+01
Q25%              0.800643E+02   0.765417E+01
Q75%              0.867216E+02   0.143289E+02
Q90%              0.902784E+02   0.190607E+02
St.Dev.           0.596684E+01   0.787772E+01
Variance          0.356032E+02   0.620585E+02
CV                0.715918E-01   0.644572E+00
Skewness         -0.305526E+00   0.284894E+01
Kurtosis          0.309464E+01   0.104125E+02
MaxPost           0.836528E+02   0.704696E+01
