               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.749668E+02   0.847914E+01
Maximum           0.875968E+02   0.184467E+02
Range             0.126300E+02   0.996756E+01
Mean              0.814727E+02   0.121183E+02
Median            0.815668E+02   0.119275E+02
Q10%              0.788988E+02   0.101871E+02
Q25%              0.800540E+02   0.110339E+02
Q75%              0.829893E+02   0.130605E+02
Q90%              0.839596E+02   0.140809E+02
St.Dev.           0.205731E+01   0.161490E+01
Variance          0.423251E+01   0.260791E+01
CV                0.252515E-01   0.133262E+00
Skewness         -0.215995E+00   0.753805E+00
Kurtosis          0.833990E-01   0.100621E+01
MaxPost           0.814046E+02   0.113767E+02
