               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.919170E+02   0.306291E+01
Maximum           0.100568E+03   0.921924E+01
Range             0.865100E+01   0.615633E+01
Mean              0.961345E+02   0.541591E+01
Median            0.961152E+02   0.525692E+01
Q10%              0.947655E+02   0.427383E+01
Q25%              0.953623E+02   0.473730E+01
Q75%              0.969171E+02   0.596279E+01
Q90%              0.975813E+02   0.668018E+01
St.Dev.           0.116903E+01   0.990879E+00
Variance          0.136662E+01   0.981842E+00
CV                0.121603E-01   0.182957E+00
Skewness         -0.560027E-01   0.847205E+00
Kurtosis          0.572137E+00   0.116240E+01
MaxPost           0.961595E+02   0.497280E+01
