               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.930190E+02   0.569550E+02   0.580242E+01   0.826949E-02
Maximum           0.132694E+03   0.127158E+03   0.630450E+01   0.292434E+02
Range             0.396750E+02   0.702030E+02   0.502080E+00   0.292351E+02
Mean              0.112653E+03   0.107347E+03   0.602335E+01   0.240917E+01
Median            0.112791E+03   0.107316E+03   0.601409E+01   0.139146E+01
Q10%              0.109279E+03   0.105876E+03   0.594547E+01   0.279994E+00
Q25%              0.111501E+03   0.106793E+03   0.597537E+01   0.590599E+00
Q75%              0.114029E+03   0.108190E+03   0.605776E+01   0.285729E+01
Q90%              0.115190E+03   0.109489E+03   0.614508E+01   0.566010E+01
St.Dev.           0.326550E+01   0.405453E+01   0.915807E-01   0.334147E+01
Variance          0.106635E+02   0.164392E+02   0.838703E-02   0.111654E+02
CV                0.289873E-01   0.377704E-01   0.152043E-01   0.138698E+01
Skewness          0.187764E+00  -0.524385E+01   0.655186E+00   0.414608E+01
Kurtosis          0.969921E+01   0.615130E+02   0.149902E+01   0.240314E+02
MaxPost           0.112836E+03   0.107136E+03   0.602215E+01   0.937424E-01
