               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.950274E+02   0.101371E+03   0.422215E+00   0.235975E+01
Maximum           0.107129E+03   0.110283E+03   0.732952E+01   0.712167E+01
Range             0.121016E+02   0.891200E+01   0.690730E+01   0.476192E+01
Mean              0.101297E+03   0.106358E+03   0.255525E+01   0.385639E+01
Median            0.101451E+03   0.106413E+03   0.289271E+01   0.377388E+01
Q10%              0.992651E+02   0.104473E+03   0.150680E+01   0.297726E+01
Q25%              0.100321E+03   0.105398E+03   0.191147E+01   0.332937E+01
Q75%              0.102317E+03   0.107427E+03   0.301583E+01   0.427008E+01
Q90%              0.103233E+03   0.108276E+03   0.305176E+01   0.487199E+01
St.Dev.           0.167562E+01   0.149725E+01   0.804267E+00   0.743763E+00
Variance          0.280769E+01   0.224176E+01   0.646845E+00   0.553183E+00
CV                0.165417E-01   0.140775E-01   0.314751E+00   0.192865E+00
Skewness         -0.342134E+00  -0.140578E+00   0.397078E+00   0.803232E+00
Kurtosis          0.106366E+01  -0.198454E+00   0.355176E+01   0.112804E+01
MaxPost           0.101771E+03   0.107110E+03   0.302945E+01   0.313630E+01
