res1           res2           tau1           Y1_gamma1      LogPost        
   0.100339E+03   0.105786E+03   0.279320E+01   0.372799E+01  -0.687621E+02
   0.998562E+02   0.104919E+03   0.132421E+01   0.422889E+01  -0.701022E+02
   0.101084E+03   0.106542E+03   0.172034E+01   0.376588E+01  -0.696828E+02
   0.100542E+03   0.106042E+03   0.178054E+01   0.350378E+01  -0.690580E+02
   0.102716E+03   0.107928E+03   0.317538E+01   0.392340E+01  -0.700628E+02
   0.103244E+03   0.106091E+03   0.288463E+01   0.437856E+01  -0.699761E+02
   0.102386E+03   0.104768E+03   0.220288E+01   0.425334E+01  -0.703797E+02
   0.105354E+03   0.104575E+03   0.105839E+01   0.430696E+01  -0.732870E+02
   0.999890E+02   0.105976E+03   0.129283E+01   0.316307E+01  -0.720864E+02
   0.969474E+02   0.105526E+03   0.161138E+01   0.350018E+01  -0.709353E+02
   0.101558E+03   0.106915E+03   0.313078E+01   0.412530E+01  -0.701575E+02
   0.100756E+03   0.108496E+03   0.329558E+01   0.389790E+01  -0.717803E+02
   0.101041E+03   0.105443E+03   0.303294E+01   0.317635E+01  -0.679944E+02
   0.101837E+03   0.107056E+03   0.303308E+01   0.247206E+01  -0.669835E+02
   0.101762E+03   0.106561E+03   0.296981E+01   0.416775E+01  -0.676826E+02
   0.102838E+03   0.106577E+03   0.296981E+01   0.282921E+01  -0.675048E+02
   0.102044E+03   0.107034E+03   0.296981E+01   0.307495E+01  -0.661701E+02
   0.100054E+03   0.108204E+03   0.296981E+01   0.408988E+01  -0.684399E+02
   0.103747E+03   0.106230E+03   0.356479E+01   0.427580E+01  -0.716810E+02
   0.104202E+03   0.107415E+03   0.300437E+01   0.494344E+01  -0.710744E+02
   0.101071E+03   0.106785E+03   0.277996E+01   0.467878E+01  -0.705367E+02
   0.101181E+03   0.105795E+03   0.279999E+01   0.422833E+01  -0.690241E+02
   0.101032E+03   0.103319E+03   0.279999E+01   0.441007E+01  -0.722666E+02
   0.101256E+03   0.106519E+03   0.279999E+01   0.371500E+01  -0.682373E+02
   0.977489E+02   0.105060E+03   0.186267E+01   0.491228E+01  -0.719993E+02
   0.102330E+03   0.107094E+03   0.299170E+01   0.300675E+01  -0.663589E+02
   0.101004E+03   0.108034E+03   0.299170E+01   0.339898E+01  -0.665375E+02
   0.101218E+03   0.107055E+03   0.298763E+01   0.478058E+01  -0.690531E+02
   0.101592E+03   0.108059E+03   0.298763E+01   0.267703E+01  -0.665601E+02
   0.102026E+03   0.108361E+03   0.298763E+01   0.368816E+01  -0.669622E+02
   0.103223E+03   0.106132E+03   0.298763E+01   0.432206E+01  -0.690583E+02
   0.103218E+03   0.107632E+03   0.300485E+01   0.372549E+01  -0.676976E+02
   0.102382E+03   0.107353E+03   0.300485E+01   0.371421E+01  -0.668386E+02
   0.103440E+03   0.108014E+03   0.300485E+01   0.278824E+01  -0.686107E+02
   0.101951E+03   0.106281E+03   0.300485E+01   0.356316E+01  -0.668875E+02
   0.102607E+03   0.106420E+03   0.300485E+01   0.396463E+01  -0.677010E+02
   0.995595E+02   0.108262E+03   0.300485E+01   0.353000E+01  -0.686144E+02
   0.100925E+03   0.108743E+03   0.300485E+01   0.353000E+01  -0.672620E+02
   0.102053E+03   0.107070E+03   0.300485E+01   0.435306E+01  -0.679910E+02
   0.995110E+02   0.107138E+03   0.300485E+01   0.382963E+01  -0.686556E+02
   0.101809E+03   0.108363E+03   0.300485E+01   0.273824E+01  -0.667598E+02
   0.999418E+02   0.107927E+03   0.300485E+01   0.447934E+01  -0.691996E+02
   0.102177E+03   0.107436E+03   0.300515E+01   0.343047E+01  -0.663553E+02
   0.100911E+03   0.105560E+03   0.252153E+01   0.402628E+01  -0.696025E+02
   0.976689E+02   0.105153E+03   0.143095E+01   0.390537E+01  -0.701210E+02
   0.102199E+03   0.106007E+03   0.236249E+01   0.299540E+01  -0.703494E+02
   0.101904E+03   0.104983E+03   0.238426E+01   0.406077E+01  -0.699506E+02
   0.100336E+03   0.107208E+03   0.159722E+01   0.329550E+01  -0.710017E+02
   0.101446E+03   0.106098E+03   0.289507E+01   0.270072E+01  -0.693619E+02
   0.102921E+03   0.107360E+03   0.302235E+01   0.309661E+01  -0.669672E+02
   0.101124E+03   0.107869E+03   0.302235E+01   0.294796E+01  -0.662786E+02
   0.102176E+03   0.107219E+03   0.302235E+01   0.295431E+01  -0.662322E+02
   0.103614E+03   0.107321E+03   0.303533E+01   0.417224E+01  -0.688477E+02
   0.100413E+03   0.109071E+03   0.298832E+01   0.300334E+01  -0.682693E+02
   0.101867E+03   0.107863E+03   0.303739E+01   0.350511E+01  -0.664090E+02
   0.989467E+02   0.105645E+03   0.216064E+01   0.543301E+01  -0.724084E+02
   0.101567E+03   0.105334E+03   0.196633E+01   0.362399E+01  -0.692283E+02
   0.102664E+03   0.106072E+03   0.279069E+01   0.470434E+01  -0.706646E+02
   0.996469E+02   0.105301E+03   0.173411E+01   0.488386E+01  -0.706265E+02
   0.100334E+03   0.104996E+03   0.299770E+01   0.427207E+01  -0.698388E+02
   0.100324E+03   0.105929E+03   0.281154E+01   0.281923E+01  -0.695312E+02
   0.103114E+03   0.108525E+03   0.305951E+01   0.387411E+01  -0.707061E+02
   0.100757E+03   0.106503E+03   0.294373E+01   0.316839E+01  -0.678232E+02
   0.100645E+03   0.107119E+03   0.302140E+01   0.267783E+01  -0.670522E+02
   0.101162E+03   0.108387E+03   0.307412E+01   0.362726E+01  -0.712563E+02
   0.997337E+02   0.107226E+03   0.295455E+01   0.310303E+01  -0.693271E+02
   0.100011E+03   0.106056E+03   0.160148E+01   0.401482E+01  -0.692855E+02
   0.100052E+03   0.105855E+03   0.224673E+01   0.354822E+01  -0.692300E+02
   0.102825E+03   0.106542E+03   0.202973E+01   0.536694E+01  -0.723954E+02
   0.100778E+03   0.104499E+03   0.273992E+01   0.621590E+01  -0.742450E+02
   0.103097E+03   0.106785E+03   0.256036E+01   0.430789E+01  -0.709023E+02
   0.100304E+03   0.105315E+03   0.102167E+01   0.421512E+01  -0.711932E+02
   0.100953E+03   0.105720E+03   0.282271E+01   0.368018E+01  -0.684606E+02
   0.100604E+03   0.107896E+03   0.300384E+01   0.436372E+01  -0.683686E+02
   0.101895E+03   0.105439E+03   0.115116E+01   0.441854E+01  -0.712784E+02
   0.100016E+03   0.105439E+03   0.168787E+01   0.407153E+01  -0.691978E+02
   0.101373E+03   0.106682E+03   0.255385E+01   0.313074E+01  -0.701701E+02
   0.103002E+03   0.103480E+03   0.425393E+01   0.473130E+01  -0.735573E+02
   0.100390E+03   0.108280E+03   0.303748E+01   0.309362E+01  -0.672341E+02
   0.103321E+03   0.107077E+03   0.303748E+01   0.494842E+01  -0.701462E+02
   0.101079E+03   0.108583E+03   0.304201E+01   0.505229E+01  -0.700883E+02
   0.101052E+03   0.105646E+03   0.221313E+01   0.327767E+01  -0.691754E+02
   0.103597E+03   0.107787E+03   0.300951E+01   0.365444E+01  -0.682427E+02
   0.102700E+03   0.109444E+03   0.303105E+01   0.357024E+01  -0.684839E+02
   0.101541E+03   0.109420E+03   0.303105E+01   0.322820E+01  -0.678643E+02
   0.101277E+03   0.104635E+03   0.174530E+01   0.361756E+01  -0.695904E+02
   0.101000E+03   0.104813E+03   0.302877E+01   0.339172E+01  -0.691271E+02
   0.102808E+03   0.106419E+03   0.302877E+01   0.336645E+01  -0.672446E+02
   0.101226E+03   0.107535E+03   0.302877E+01   0.411892E+01  -0.674552E+02
   0.103821E+03   0.104018E+03   0.502245E+00   0.408635E+01  -0.725830E+02
   0.101224E+03   0.102755E+03   0.701639E+00   0.456586E+01  -0.734977E+02
   0.101534E+03   0.106783E+03   0.342554E+01   0.336262E+01  -0.701544E+02
   0.102157E+03   0.107662E+03   0.313370E+01   0.390900E+01  -0.699178E+02
