"loglikelihood"	"logprio"	"logposterior"
-64.1569298140119	-4.60517018598809	-68.7621
-65.4970298140119	-4.60517018598809	-70.1022
-65.0776298140119	-4.60517018598809	-69.6828
-64.4528298140119	-4.60517018598809	-69.058
-65.4576298140119	-4.60517018598809	-70.0628
-65.3709298140119	-4.60517018598809	-69.9761
-65.7745298140119	-4.60517018598809	-70.3797
-68.6818298140119	-4.60517018598809	-73.287
-67.4812298140119	-4.60517018598809	-72.0864
-66.3301298140119	-4.60517018598809	-70.9353
-65.5523298140119	-4.60517018598809	-70.1575
-67.1751298140119	-4.60517018598809	-71.7803
-63.3892298140119	-4.60517018598809	-67.9944
-62.3783298140119	-4.60517018598809	-66.9835
-63.0774298140119	-4.60517018598809	-67.6826
-62.8996298140119	-4.60517018598809	-67.5048
-61.5649298140119	-4.60517018598809	-66.1701
-63.8347298140119	-4.60517018598809	-68.4399
-67.0758298140119	-4.60517018598809	-71.681
-66.4692298140119	-4.60517018598809	-71.0744
-65.9315298140119	-4.60517018598809	-70.5367
-64.4189298140119	-4.60517018598809	-69.0241
-67.6614298140119	-4.60517018598809	-72.2666
-63.6321298140119	-4.60517018598809	-68.2373
-67.3941298140119	-4.60517018598809	-71.9993
-61.7537298140119	-4.60517018598809	-66.3589
-61.9323298140119	-4.60517018598809	-66.5375
-64.4479298140119	-4.60517018598809	-69.0531
-61.9549298140119	-4.60517018598809	-66.5601
-62.3570298140119	-4.60517018598809	-66.9622
-64.4531298140119	-4.60517018598809	-69.0583
-63.0924298140119	-4.60517018598809	-67.6976
-62.2334298140119	-4.60517018598809	-66.8386
-64.0055298140119	-4.60517018598809	-68.6107
-62.2823298140119	-4.60517018598809	-66.8875
-63.0958298140119	-4.60517018598809	-67.701
-64.0092298140119	-4.60517018598809	-68.6144
-62.6568298140119	-4.60517018598809	-67.262
-63.3858298140119	-4.60517018598809	-67.991
-64.0504298140119	-4.60517018598809	-68.6556
-62.1546298140119	-4.60517018598809	-66.7598
-64.5944298140119	-4.60517018598809	-69.1996
