X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.232685E+00   0.232685E+00   0.100221E+03   0.100221E+03   0.998300E+02   0.391472E+00   0.377359E+00
   0.271961E+00   0.271961E+00   0.983869E+02   0.983869E+02   0.998300E+02  -0.144314E+01  -0.120417E+01
   0.283157E+00   0.283157E+00   0.993999E+02   0.993999E+02   0.998300E+02  -0.430088E+00  -0.362371E+00
   0.366522E+00   0.366522E+00   0.101202E+03   0.101202E+03   0.998300E+02   0.137161E+01   0.100364E+01
   0.630759E+00   0.630759E+00   0.995886E+02   0.995886E+02   0.998300E+02  -0.241401E+00  -0.171222E+00
   0.701168E+00   0.701168E+00   0.100511E+03   0.100511E+03   0.998300E+02   0.680657E+00   0.576635E+00
   0.768264E+00   0.768264E+00   0.997832E+02   0.997832E+02   0.998300E+02  -0.468199E-01  -0.841129E-01
   0.822948E+00   0.822948E+00   0.998400E+02   0.998400E+02   0.998300E+02   0.100304E-01   0.832927E-02
   0.120245E+01   0.120245E+01   0.989767E+02   0.989767E+02   0.998300E+02  -0.853314E+00  -0.899744E+00
   0.123219E+01   0.123219E+01   0.101501E+03   0.101501E+03   0.998300E+02   0.167115E+01   0.175896E+01
   0.140765E+01   0.140765E+01   0.984142E+02   0.984142E+02   0.998300E+02  -0.141583E+01  -0.105022E+01
   0.184744E+01   0.184744E+01   0.101929E+03   0.101929E+03   0.998300E+02   0.209945E+01   0.124754E+01
   0.202431E+01   0.202431E+01   0.103198E+03   0.103198E+03   0.998300E+02   0.336816E+01   0.152798E+01
   0.207070E+01   0.207070E+01   0.997216E+02   0.997216E+02   0.998300E+02  -0.108352E+00  -0.101960E+00
   0.228217E+01   0.228217E+01   0.101195E+03   0.101195E+03   0.998300E+02   0.136486E+01   0.120817E+01
   0.229157E+01   0.229157E+01   0.100161E+03   0.100161E+03   0.998300E+02   0.331389E+00   0.257492E+00
   0.229279E+01   0.229279E+01   0.989169E+02   0.989169E+02   0.998300E+02  -0.913075E+00  -0.716855E+00
   0.239089E+01   0.239089E+01   0.977368E+02   0.977368E+02   0.998300E+02  -0.209322E+01  -0.729311E+00
   0.366216E+01   0.366216E+01   0.997159E+02   0.997159E+02   0.998300E+02  -0.114065E+00  -0.688237E-01
   0.370377E+01   0.370377E+01   0.101298E+03   0.101298E+03   0.998300E+02   0.146777E+01   0.569914E+00
   0.381428E+01   0.381428E+01   0.993460E+02   0.993460E+02   0.998300E+02  -0.483997E+00  -0.458857E+00
   0.386793E+01   0.386793E+01   0.100996E+03   0.100996E+03   0.998300E+02   0.116648E+01   0.954128E+00
   0.391224E+01   0.391224E+01   0.993024E+02   0.993024E+02   0.998300E+02  -0.527584E+00  -0.435205E+00
   0.412743E+01   0.412743E+01   0.101151E+03   0.101151E+03   0.998300E+02   0.132118E+01   0.100931E+01
   0.418050E+01   0.418050E+01   0.978625E+02   0.978625E+02   0.998300E+02  -0.196748E+01  -0.120136E+01
   0.428459E+01   0.428459E+01   0.990848E+02   0.990848E+02   0.998300E+02  -0.745193E+00  -0.794950E+00
   0.441016E+01   0.441016E+01   0.956509E+02   0.956509E+02   0.998300E+02  -0.417905E+01  -0.211549E+01
   0.487801E+01   0.487801E+01   0.997054E+02   0.997054E+02   0.998300E+02  -0.124590E+00  -0.136506E+00
   0.492533E+01   0.492533E+01   0.990191E+02   0.990191E+02   0.998300E+02  -0.810932E+00  -0.381858E+00
   0.507478E+01   0.507478E+01   0.983912E+02   0.983912E+02   0.998300E+02  -0.143880E+01  -0.962388E+00
   0.509748E+01   0.509748E+01   0.982634E+02   0.982634E+02   0.998300E+02  -0.156661E+01  -0.127053E+01
   0.525514E+01   0.525514E+01   0.994258E+02   0.994258E+02   0.998300E+02  -0.404162E+00  -0.570952E+00
   0.539085E+01   0.539085E+01   0.983239E+02   0.983239E+02   0.998300E+02  -0.150608E+01  -0.917427E+00
