res1           res2           tau1           Y1_gamma1      LogPost        
   0.100239E+03   0.111679E+03   0.589416E+01   0.137309E+00  -0.100510E+03
   0.996143E+02   0.111587E+03   0.585287E+01   0.374849E+00  -0.992017E+02
   0.995104E+02   0.111977E+03   0.587192E+01   0.214013E+00  -0.100714E+03
   0.995104E+02   0.111443E+03   0.576165E+01   0.581544E+00  -0.100988E+03
   0.999059E+02   0.111443E+03   0.584915E+01   0.138680E+00  -0.983248E+02
   0.995540E+02   0.111498E+03   0.586729E+01   0.130733E+00  -0.989108E+02
   0.995788E+02   0.111498E+03   0.579767E+01   0.334703E+00  -0.992425E+02
   0.998248E+02   0.111727E+03   0.580349E+01   0.310462E+00  -0.987078E+02
   0.997867E+02   0.111727E+03   0.583832E+01   0.310462E+00  -0.987080E+02
   0.995434E+02   0.111727E+03   0.575536E+01   0.384313E+00  -0.998251E+02
   0.998265E+02   0.111408E+03   0.589732E+01   0.371968E+00  -0.989664E+02
   0.100062E+03   0.111639E+03   0.576695E+01   0.285360E+00  -0.992322E+02
   0.998233E+02   0.111382E+03   0.576296E+01   0.307731E+00  -0.987865E+02
   0.998233E+02   0.111376E+03   0.582819E+01   0.114250E+00  -0.983940E+02
   0.996555E+02   0.111376E+03   0.584687E+01   0.120169E+00  -0.987008E+02
   0.100189E+03   0.111821E+03   0.584741E+01   0.729841E-02  -0.100346E+03
   0.993605E+02   0.111881E+03   0.579292E+01   0.596531E+00  -0.102877E+03
   0.997202E+02   0.111665E+03   0.577645E+01   0.132472E+00  -0.981659E+02
   0.995851E+02   0.111221E+03   0.589131E+01   0.981214E+00  -0.104860E+03
   0.994285E+02   0.111547E+03   0.576509E+01   0.995417E-01  -0.998626E+02
   0.998411E+02   0.111503E+03   0.583514E+01   0.280767E+00  -0.984401E+02
   0.999554E+02   0.111197E+03   0.587891E+01   0.621499E+00  -0.101392E+03
   0.999554E+02   0.111598E+03   0.577579E+01   0.129785E+00  -0.982851E+02
   0.995461E+02   0.111386E+03   0.588758E+01   0.426605E+00  -0.100015E+03
   0.996975E+02   0.111627E+03   0.583731E+01   0.324718E+00  -0.987210E+02
   0.996975E+02   0.111448E+03   0.586528E+01   0.319118E+00  -0.987934E+02
   0.996975E+02   0.111432E+03   0.578226E+01   0.137516E-01  -0.982984E+02
