               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.992013E+02   0.110963E+03   0.575455E+01   0.926958E-03
Maximum           0.100252E+03   0.112230E+03   0.589732E+01   0.981214E+00
Range             0.105070E+01   0.126700E+01   0.142770E+00   0.980287E+00
Mean              0.997893E+02   0.111563E+03   0.582700E+01   0.229776E+00
Median            0.997854E+02   0.111567E+03   0.582768E+01   0.175777E+00
Q10%              0.995138E+02   0.111261E+03   0.576759E+01   0.374951E-01
Q25%              0.996632E+02   0.111392E+03   0.579041E+01   0.838637E-01
Q75%              0.999322E+02   0.111730E+03   0.586672E+01   0.326901E+00
Q90%              0.100066E+03   0.111879E+03   0.588514E+01   0.493707E+00
St.Dev.           0.202571E+00   0.239452E+00   0.427026E-01   0.186384E+00
Variance          0.410348E-01   0.573371E-01   0.182351E-02   0.347391E-01
CV                0.202998E-02   0.214633E-02   0.732840E-02   0.811156E+00
Skewness         -0.162947E-02   0.318947E-01  -0.335876E-01   0.114359E+01
Kurtosis         -0.190170E+00  -0.362946E+00  -0.127112E+01   0.106906E+01
MaxPost           0.998300E+02   0.111587E+03   0.588068E+01   0.105162E-01
