               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.991756E+02   0.488120E-03
Maximum           0.100175E+03   0.114433E+01
Range             0.999400E+00   0.114384E+01
Mean              0.997630E+02   0.368912E+00
Median            0.997660E+02   0.341684E+00
Q10%              0.995422E+02   0.770983E-01
Q25%              0.996646E+02   0.166973E+00
Q75%              0.998756E+02   0.541393E+00
Q90%              0.999708E+02   0.692945E+00
St.Dev.           0.166345E+00   0.237242E+00
Variance          0.276706E-01   0.562839E-01
CV                0.166740E-02   0.643086E+00
Skewness         -0.229224E+00   0.557667E+00
Kurtosis          0.801413E-01  -0.239530E+00
MaxPost           0.997770E+02   0.157037E+00
