               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.108970E+03   0.114177E+03   0.263522E+01   0.514539E-02
Maximum           0.125822E+03   0.124537E+03   0.433037E+01   0.577077E+01
Range             0.168520E+02   0.103600E+02   0.169515E+01   0.576562E+01
Mean              0.124338E+03   0.118573E+03   0.388307E+01   0.100004E+01
Median            0.124589E+03   0.118514E+03   0.388939E+01   0.905115E+00
Q10%              0.123930E+03   0.117487E+03   0.370554E+01   0.240606E+00
Q25%              0.124263E+03   0.117999E+03   0.377241E+01   0.517291E+00
Q75%              0.124879E+03   0.119013E+03   0.403360E+01   0.127547E+01
Q90%              0.125118E+03   0.119614E+03   0.410331E+01   0.176808E+01
St.Dev.           0.179587E+01   0.108334E+01   0.219687E+00   0.756440E+00
Variance          0.322514E+01   0.117364E+01   0.482622E-01   0.572202E+00
CV                0.144435E-01   0.913654E-02   0.565754E-01   0.756408E+00
Skewness         -0.666506E+01   0.156206E+01  -0.279216E+01   0.227702E+01
Kurtosis          0.472461E+02   0.754854E+01   0.129855E+02   0.849743E+01
MaxPost           0.124595E+03   0.118499E+03   0.386844E+01   0.599670E+00
