               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.111328E+03   0.550767E-04
Maximum           0.113752E+03   0.274488E+01
Range             0.242400E+01   0.274482E+01
Mean              0.112715E+03   0.518384E+00
Median            0.112701E+03   0.433023E+00
Q10%              0.112272E+03   0.732900E-01
Q25%              0.112484E+03   0.198967E+00
Q75%              0.112941E+03   0.738595E+00
Q90%              0.113156E+03   0.106604E+01
St.Dev.           0.361869E+00   0.404413E+00
Variance          0.130949E+00   0.163550E+00
CV                0.321048E-02   0.780143E+00
Skewness         -0.593647E-01   0.126994E+01
Kurtosis          0.486223E+00   0.232165E+01
MaxPost           0.112716E+03   0.308203E-01
