               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.678999E+02   0.233004E+01
Maximum           0.757755E+02   0.915044E+01
Range             0.787560E+01   0.682040E+01
Mean              0.722496E+02   0.471904E+01
Median            0.722311E+02   0.460981E+01
Q10%              0.708706E+02   0.364977E+01
Q25%              0.715844E+02   0.407927E+01
Q75%              0.729180E+02   0.524591E+01
Q90%              0.736501E+02   0.578964E+01
St.Dev.           0.110952E+01   0.969790E+00
Variance          0.123104E+01   0.940493E+00
CV                0.153568E-01   0.205506E+00
Skewness         -0.212877E+00   0.101459E+01
Kurtosis          0.909961E+00   0.245907E+01
MaxPost           0.723572E+02   0.430007E+01
