res1           Y1_gamma1      LogPost        
   0.826432E+02   0.600904E+00  -0.272486E+02
   0.821501E+02   0.103172E-01  -0.276842E+02
   0.825643E+02   0.773805E+00  -0.273749E+02
   0.827432E+02   0.573553E+00  -0.274198E+02
   0.832691E+02   0.877578E+00  -0.295988E+02
   0.828416E+02   0.645333E+00  -0.277135E+02
   0.828028E+02   0.543476E+00  -0.275726E+02
   0.824233E+02   0.719827E+00  -0.273020E+02
   0.829427E+02   0.322227E+00  -0.282665E+02
   0.825754E+02   0.340940E+00  -0.270968E+02
   0.825922E+02   0.160828E+00  -0.271559E+02
   0.829674E+02   0.554695E+00  -0.281879E+02
   0.827982E+02   0.565647E+00  -0.275616E+02
   0.825790E+02   0.999781E+00  -0.278390E+02
   0.818727E+02   0.134945E+01  -0.298595E+02
   0.820736E+02   0.626752E-02  -0.280172E+02
   0.827170E+02   0.224906E+00  -0.274118E+02
   0.825499E+02   0.398218E+00  -0.270724E+02
   0.825499E+02   0.848103E+00  -0.274981E+02
   0.819928E+02   0.307890E-01  -0.284458E+02
   0.821037E+02   0.278769E+00  -0.278168E+02
   0.827174E+02   0.361167E+00  -0.273586E+02
   0.817755E+02   0.888980E+00  -0.294531E+02
   0.830410E+02   0.109676E+01  -0.288721E+02
   0.827750E+02   0.568534E+00  -0.274978E+02
   0.822004E+02   0.148017E+01  -0.295463E+02
   0.829463E+02   0.211054E+00  -0.284010E+02
   0.823501E+02   0.121831E+00  -0.271476E+02
   0.828491E+02   0.687440E-01  -0.279830E+02
   0.824904E+02   0.388010E-01  -0.270788E+02
   0.823542E+02   0.824054E+00  -0.275305E+02
   0.824918E+02   0.576626E-01  -0.270780E+02
   0.825843E+02   0.521007E+00  -0.271335E+02
   0.823696E+02   0.711264E+00  -0.273350E+02
   0.831241E+02   0.134078E+01  -0.296667E+02
   0.819579E+02   0.474948E+00  -0.284477E+02
   0.825049E+02   0.191180E+00  -0.270645E+02
   0.826789E+02   0.551439E+00  -0.272775E+02
   0.825977E+02   0.186367E+00  -0.271580E+02
   0.823890E+02   0.570455E+00  -0.271659E+02
   0.824582E+02   0.984675E+00  -0.277984E+02
   0.830561E+02   0.999693E+00  -0.287551E+02
   0.830654E+02   0.568098E+00  -0.286625E+02
   0.828163E+02   0.236297E+01  -0.328106E+02
   0.830459E+02   0.270158E+01  -0.342635E+02
   0.823632E+02   0.373021E+00  -0.271118E+02
   0.823691E+02   0.290885E+00  -0.271034E+02
   0.829118E+02   0.165837E+00  -0.282499E+02
   0.828701E+02   0.597799E+00  -0.277935E+02
   0.817612E+02   0.206399E+01  -0.323611E+02
   0.822041E+02   0.427321E+00  -0.274460E+02
   0.820312E+02   0.364905E+00  -0.281162E+02
   0.817341E+02   0.913543E+00  -0.296843E+02
   0.827800E+02   0.735215E+00  -0.276169E+02
   0.818835E+02   0.785205E+00  -0.288529E+02
   0.820462E+02   0.119255E+01  -0.289628E+02
   0.818979E+02   0.139893E+00  -0.290175E+02
   0.824255E+02   0.758890E+00  -0.273587E+02
   0.826304E+02   0.789954E+00  -0.274487E+02
   0.826596E+02   0.946815E+00  -0.277722E+02
   0.822590E+02   0.156108E+00  -0.273209E+02
   0.829788E+02   0.362859E+00  -0.284140E+02
   0.826728E+02   0.362859E+00  -0.272517E+02
   0.821560E+02   0.728986E+00  -0.277683E+02
   0.828477E+02   0.354308E+00  -0.277974E+02
   0.819348E+02   0.426230E+00  -0.285954E+02
   0.825390E+02   0.761073E+00  -0.273452E+02
   0.829358E+02   0.250953E+00  -0.283037E+02
   0.826844E+02   0.242748E-01  -0.273753E+02
   0.831735E+02   0.692798E+00  -0.291543E+02
   0.830599E+02   0.716874E+00  -0.285635E+02
   0.825300E+02   0.677608E+00  -0.272289E+02
   0.824625E+02   0.498172E+00  -0.270775E+02
   0.828246E+02   0.271474E-01  -0.278785E+02
   0.826308E+02   0.105922E+01  -0.280176E+02
   0.825613E+02   0.576035E+00  -0.271472E+02
   0.829645E+02   0.154014E+01  -0.299036E+02
   0.827227E+02   0.246744E+00  -0.274188E+02
   0.821988E+02   0.489091E+00  -0.274742E+02
   0.826207E+02   0.398684E+00  -0.271528E+02
