               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.813715E+02   0.269206E-02
Maximum           0.838933E+02   0.270158E+01
Range             0.252180E+01   0.269889E+01
Mean              0.824938E+02   0.624173E+00
Median            0.824744E+02   0.577574E+00
Q10%              0.820514E+02   0.118185E+00
Q25%              0.822679E+02   0.273243E+00
Q75%              0.827325E+02   0.877549E+00
Q90%              0.829590E+02   0.119177E+01
St.Dev.           0.356474E+00   0.430427E+00
Variance          0.127074E+00   0.185268E+00
CV                0.432122E-02   0.689596E+00
Skewness          0.884567E-01   0.976793E+00
Kurtosis          0.391275E+00   0.158778E+01
MaxPost           0.824918E+02   0.354905E+00
