               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.991795E+02   0.132823E-03
Maximum           0.100582E+03   0.116169E+01
Range             0.140250E+01   0.116156E+01
Mean              0.998058E+02   0.318689E+00
Median            0.998175E+02   0.279097E+00
Q10%              0.995194E+02   0.472720E-01
Q25%              0.996553E+02   0.137092E+00
Q75%              0.999438E+02   0.454019E+00
Q90%              0.100069E+03   0.637498E+00
St.Dev.           0.217578E+00   0.236708E+00
Variance          0.473400E-01   0.560308E-01
CV                0.218001E-02   0.742756E+00
Skewness         -0.457205E-01   0.945829E+00
Kurtosis          0.173814E-01   0.646793E+00
MaxPost           0.998018E+02   0.113882E-01
