res1           Y1_gamma1      LogPost        
   0.995664E+02   0.492289E+00  -0.595921E+02
   0.998168E+02   0.603278E-01  -0.582264E+02
   0.999158E+02   0.494847E+00  -0.591480E+02
   0.100059E+03   0.864156E-01  -0.590664E+02
   0.996098E+02   0.262783E+00  -0.589033E+02
   0.997192E+02   0.400922E+00  -0.588067E+02
   0.100005E+03   0.399141E+00  -0.591760E+02
   0.999393E+02   0.105579E+00  -0.584734E+02
   0.996568E+02   0.139530E+00  -0.585690E+02
   0.999956E+02   0.642106E+00  -0.599739E+02
   0.997769E+02   0.625970E-01  -0.582392E+02
   0.999292E+02   0.996702E-01  -0.584368E+02
   0.998364E+02   0.347438E+00  -0.586033E+02
   0.998703E+02   0.217567E+00  -0.584083E+02
   0.993928E+02   0.187627E+00  -0.605138E+02
   0.999040E+02   0.792196E+00  -0.604944E+02
   0.997760E+02   0.437690E+00  -0.588370E+02
   0.998680E+02   0.461938E+00  -0.589488E+02
   0.100053E+03   0.121065E+00  -0.590394E+02
   0.100100E+03   0.167373E+00  -0.593956E+02
   0.998134E+02   0.524741E+00  -0.591200E+02
   0.995885E+02   0.131654E+00  -0.588925E+02
   0.100060E+03   0.345060E+00  -0.593468E+02
   0.998346E+02   0.579552E+00  -0.593447E+02
   0.999308E+02   0.414118E+00  -0.589403E+02
   0.996014E+02   0.258779E+00  -0.589399E+02
   0.992823E+02   0.978018E-02  -0.618832E+02
   0.996774E+02   0.339640E-01  -0.584449E+02
   0.997789E+02   0.558240E+00  -0.592512E+02
   0.996446E+02   0.357061E+00  -0.589149E+02
   0.100160E+03   0.163455E+00  -0.598960E+02
   0.100068E+03   0.127589E+00  -0.591417E+02
   0.999486E+02   0.206662E-01  -0.584770E+02
   0.993482E+02   0.509785E+00  -0.612118E+02
   0.100023E+03   0.950287E+00  -0.617934E+02
   0.997537E+02   0.494482E+00  -0.590356E+02
   0.997939E+02   0.788321E+00  -0.603705E+02
   0.997038E+02   0.122339E-01  -0.583597E+02
   0.998252E+02   0.396186E+00  -0.587168E+02
   0.996589E+02   0.120823E+00  -0.585482E+02
   0.999131E+02   0.202386E+00  -0.584800E+02
   0.999270E+02   0.866072E-01  -0.584229E+02
   0.100582E+03   0.738873E+00  -0.654444E+02
   0.100275E+03   0.108538E+01  -0.639189E+02
   0.995981E+02   0.768346E+00  -0.605798E+02
   0.997914E+02   0.507988E+00  -0.590590E+02
   0.994340E+02   0.658082E+00  -0.609062E+02
   0.994118E+02   0.116169E+01  -0.637756E+02
   0.996809E+02   0.620784E+00  -0.596429E+02
   0.997000E+02   0.300186E+00  -0.586291E+02
   0.997890E+02   0.506610E+00  -0.590547E+02
   0.998751E+02   0.602364E+00  -0.594852E+02
   0.994135E+02   0.215826E+00  -0.603095E+02
   0.994795E+02   0.571119E+00  -0.603209E+02
   0.997714E+02   0.370056E+00  -0.586585E+02
   0.996422E+02   0.180761E+00  -0.586629E+02
   0.997928E+02   0.406488E+00  -0.587411E+02
   0.999358E+02   0.194588E+00  -0.585385E+02
   0.100149E+03   0.231614E+00  -0.598407E+02
   0.996900E+02   0.371234E+00  -0.588009E+02
   0.996817E+02   0.496894E+00  -0.591720E+02
   0.996143E+02   0.145146E+00  -0.587629E+02
   0.994437E+02   0.306787E+00  -0.600833E+02
   0.998471E+02   0.628539E+00  -0.595677E+02
   0.994979E+02   0.586600E+00  -0.602564E+02
   0.999024E+02   0.151376E+00  -0.583992E+02
   0.998165E+02   0.135132E+00  -0.582703E+02
   0.100012E+03   0.256448E+00  -0.589355E+02
   0.998538E+02   0.274747E+00  -0.584737E+02
   0.994759E+02   0.239406E+00  -0.597548E+02
   0.999276E+02   0.589302E+00  -0.595341E+02
   0.998594E+02   0.515672E+00  -0.591200E+02
   0.100056E+03   0.595369E+00  -0.600394E+02
   0.100147E+03   0.446060E-01  -0.597351E+02
   0.997394E+02   0.376802E+00  -0.587114E+02
   0.100089E+03   0.615078E+00  -0.602945E+02
   0.997103E+02   0.319421E+00  -0.586403E+02
   0.999205E+02   0.442369E+00  -0.589930E+02
   0.998663E+02   0.955272E-01  -0.582863E+02
   0.997116E+02   0.285145E-01  -0.583410E+02
   0.999307E+02   0.167968E+00  -0.584940E+02
   0.998813E+02   0.140913E+00  -0.583441E+02
   0.997068E+02   0.519702E-01  -0.583587E+02
   0.997068E+02   0.766487E+00  -0.603104E+02
   0.999865E+02   0.142515E+00  -0.586889E+02
   0.997336E+02   0.331011E+00  -0.586173E+02
   0.100124E+03   0.888875E+00  -0.618324E+02
   0.999871E+02   0.317318E+00  -0.589187E+02
   0.997565E+02   0.501618E+00  -0.590572E+02
   0.996252E+02   0.345148E+00  -0.589681E+02
   0.999073E+02   0.441865E+00  -0.589593E+02
   0.996446E+02   0.990547E+00  -0.618144E+02
   0.995143E+02   0.605643E+00  -0.602281E+02
   0.100039E+03   0.482001E+00  -0.595631E+02
   0.999301E+02   0.201964E+00  -0.585289E+02
   0.995778E+02   0.218641E+00  -0.590218E+02
   0.995808E+02   0.415067E+00  -0.593217E+02
   0.995081E+02   0.186069E+00  -0.594635E+02
   0.995421E+02   0.745389E+00  -0.606781E+02
   0.100196E+03   0.131198E+00  -0.602267E+02
   0.997248E+02   0.550569E+00  -0.592747E+02
   0.996550E+02   0.127393E+00  -0.585676E+02
   0.997556E+02   0.132883E+00  -0.583030E+02
   0.998183E+02   0.186603E+00  -0.583212E+02
   0.100067E+03   0.531633E+00  -0.598675E+02
