X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.232685E+00   0.232685E+00   0.100221E+03   0.100221E+03   0.998018E+02   0.419672E+00   0.404539E+00
   0.271961E+00   0.271961E+00   0.983869E+02   0.983869E+02   0.998018E+02  -0.141494E+01  -0.118064E+01
   0.283157E+00   0.283157E+00   0.993999E+02   0.993999E+02   0.998018E+02  -0.401888E+00  -0.338609E+00
   0.366522E+00   0.366522E+00   0.101202E+03   0.101202E+03   0.998018E+02   0.139981E+01   0.102427E+01
   0.630759E+00   0.630759E+00   0.995886E+02   0.995886E+02   0.998018E+02  -0.213201E+00  -0.151220E+00
   0.701168E+00   0.701168E+00   0.100511E+03   0.100511E+03   0.998018E+02   0.708857E+00   0.600521E+00
   0.768264E+00   0.768264E+00   0.997832E+02   0.997832E+02   0.998018E+02  -0.186199E-01  -0.334500E-01
   0.822948E+00   0.822948E+00   0.998400E+02   0.998400E+02   0.998018E+02   0.382304E-01   0.317465E-01
   0.120245E+01   0.120245E+01   0.989767E+02   0.989767E+02   0.998018E+02  -0.825114E+00  -0.870000E+00
   0.123219E+01   0.123219E+01   0.101501E+03   0.101501E+03   0.998018E+02   0.169935E+01   0.178862E+01
   0.140765E+01   0.140765E+01   0.984142E+02   0.984142E+02   0.998018E+02  -0.138763E+01  -0.102930E+01
   0.184744E+01   0.184744E+01   0.101929E+03   0.101929E+03   0.998018E+02   0.212765E+01   0.126429E+01
   0.202431E+01   0.202431E+01   0.103198E+03   0.103198E+03   0.998018E+02   0.339636E+01   0.154077E+01
   0.207070E+01   0.207070E+01   0.997216E+02   0.997216E+02   0.998018E+02  -0.801518E-01  -0.754226E-01
   0.228217E+01   0.228217E+01   0.101195E+03   0.101195E+03   0.998018E+02   0.139306E+01   0.123313E+01
   0.229157E+01   0.229157E+01   0.100161E+03   0.100161E+03   0.998018E+02   0.359589E+00   0.279402E+00
   0.229279E+01   0.229279E+01   0.989169E+02   0.989169E+02   0.998018E+02  -0.884875E+00  -0.694711E+00
   0.239089E+01   0.239089E+01   0.977368E+02   0.977368E+02   0.998018E+02  -0.206502E+01  -0.719485E+00
   0.366216E+01   0.366216E+01   0.997159E+02   0.997159E+02   0.998018E+02  -0.858654E-01  -0.518085E-01
   0.370377E+01   0.370377E+01   0.101298E+03   0.101298E+03   0.998018E+02   0.149597E+01   0.580863E+00
   0.381428E+01   0.381428E+01   0.993460E+02   0.993460E+02   0.998018E+02  -0.455797E+00  -0.432118E+00
   0.386793E+01   0.386793E+01   0.100996E+03   0.100996E+03   0.998018E+02   0.119468E+01   0.977188E+00
   0.391224E+01   0.391224E+01   0.993024E+02   0.993024E+02   0.998018E+02  -0.499384E+00  -0.411940E+00
   0.412743E+01   0.412743E+01   0.101151E+03   0.101151E+03   0.998018E+02   0.134938E+01   0.103085E+01
   0.418050E+01   0.418050E+01   0.978625E+02   0.978625E+02   0.998018E+02  -0.193928E+01  -0.118414E+01
   0.428459E+01   0.428459E+01   0.990848E+02   0.990848E+02   0.998018E+02  -0.716993E+00  -0.764859E+00
   0.441016E+01   0.441016E+01   0.956509E+02   0.956509E+02   0.998018E+02  -0.415085E+01  -0.210121E+01
   0.487801E+01   0.487801E+01   0.997054E+02   0.997054E+02   0.998018E+02  -0.963902E-01  -0.105607E+00
   0.492533E+01   0.492533E+01   0.990191E+02   0.990191E+02   0.998018E+02  -0.782732E+00  -0.368579E+00
   0.507478E+01   0.507478E+01   0.983912E+02   0.983912E+02   0.998018E+02  -0.141060E+01  -0.943522E+00
   0.509748E+01   0.509748E+01   0.982634E+02   0.982634E+02   0.998018E+02  -0.153841E+01  -0.124766E+01
   0.525514E+01   0.525514E+01   0.994258E+02   0.994258E+02   0.998018E+02  -0.375962E+00  -0.531104E+00
   0.539085E+01   0.539085E+01   0.983239E+02   0.983239E+02   0.998018E+02  -0.147788E+01  -0.900246E+00
   0.548055E+01   0.548055E+01   0.100095E+03   0.100095E+03   0.998018E+02   0.292882E+00   0.181444E+00
   0.569161E+01   0.569161E+01   0.100633E+03   0.100633E+03   0.998018E+02   0.830710E+00   0.581560E+00
   0.575408E+01   0.575408E+01   0.101443E+03   0.101443E+03   0.998018E+02   0.164101E+01   0.186682E+01
