               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.996706E+02   0.615555E-03
Maximum           0.100291E+03   0.838010E+00
Range             0.620400E+00   0.837394E+00
Mean              0.999556E+02   0.278844E+00
Median            0.999519E+02   0.252711E+00
Q10%              0.997964E+02   0.448751E-01
Q25%              0.998755E+02   0.137292E+00
Q75%              0.100031E+03   0.407070E+00
Q90%              0.100114E+03   0.519478E+00
St.Dev.           0.119487E+00   0.177470E+00
Variance          0.142772E-01   0.314956E-01
CV                0.119540E-02   0.636450E+00
Skewness          0.208756E+00   0.471046E+00
Kurtosis         -0.139696E+00  -0.348773E+00
MaxPost           0.999342E+02   0.206518E+00
