               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.954725E+02   0.206730E+01
Maximum           0.996481E+02   0.494216E+01
Range             0.417560E+01   0.287486E+01
Mean              0.978535E+02   0.310884E+01
Median            0.978645E+02   0.307874E+01
Q10%              0.971244E+02   0.251412E+01
Q25%              0.974577E+02   0.278321E+01
Q75%              0.982882E+02   0.337075E+01
Q90%              0.985464E+02   0.373319E+01
St.Dev.           0.581257E+00   0.474123E+00
Variance          0.337860E+00   0.224793E+00
CV                0.594007E-02   0.152508E+00
Skewness         -0.168316E+00   0.525935E+00
Kurtosis          0.555896E+00   0.528794E+00
MaxPost           0.978603E+02   0.294473E+01
