               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.728901E+02   0.290177E+01
Maximum           0.812282E+02   0.883386E+01
Range             0.833810E+01   0.593209E+01
Mean              0.780130E+02   0.500182E+01
Median            0.780473E+02   0.487493E+01
Q10%              0.764813E+02   0.384839E+01
Q25%              0.772760E+02   0.433399E+01
Q75%              0.788128E+02   0.554007E+01
Q90%              0.794620E+02   0.628979E+01
St.Dev.           0.119080E+01   0.991023E+00
Variance          0.141800E+01   0.982127E+00
CV                0.152641E-01   0.198133E+00
Skewness         -0.286735E+00   0.830888E+00
Kurtosis          0.726144E+00   0.106421E+01
MaxPost           0.780557E+02   0.452208E+01
