               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.100402E+03   0.326240E-02
Maximum           0.105318E+03   0.486503E+01
Range             0.491600E+01   0.486177E+01
Mean              0.102409E+03   0.850340E+00
Median            0.102355E+03   0.689889E+00
Q10%              0.101666E+03   0.132750E+00
Q25%              0.102055E+03   0.333505E+00
Q75%              0.102757E+03   0.111056E+01
Q90%              0.103126E+03   0.184709E+01
St.Dev.           0.631785E+00   0.731359E+00
Variance          0.399152E+00   0.534886E+00
CV                0.616922E-02   0.860078E+00
Skewness          0.556866E+00   0.164191E+01
Kurtosis          0.222970E+01   0.333147E+01
MaxPost           0.102286E+03   0.170313E-01
