X1_obs         X1_true        Y1_obs         Y1_unbiased    Y1_sim         Y1_res         Y1_stdres      
   0.708243E+01   0.708243E+01   0.805654E+02   0.805654E+02   0.807241E+02  -0.158721E+00  -0.144140E+00
   0.724060E+01   0.724060E+01   0.801102E+02   0.801102E+02   0.807241E+02  -0.613931E+00  -0.509238E+00
   0.726702E+01   0.726702E+01   0.809639E+02   0.809639E+02   0.807241E+02   0.239829E+00   0.363334E+00
   0.732727E+01   0.732727E+01   0.812391E+02   0.812391E+02   0.807241E+02   0.514981E+00   0.737266E+00
   0.733311E+01   0.733311E+01   0.800059E+02   0.800059E+02   0.807241E+02  -0.718195E+00  -0.356172E+00
   0.744365E+01   0.744365E+01   0.804119E+02   0.804119E+02   0.807241E+02  -0.312211E+00  -0.541462E+00
   0.747560E+01   0.747560E+01   0.797966E+02   0.797966E+02   0.807241E+02  -0.927481E+00  -0.502419E+00
   0.755422E+01   0.755422E+01   0.809391E+02   0.809391E+02   0.807241E+02   0.214969E+00   0.274728E+00
   0.757525E+01   0.757525E+01   0.806318E+02   0.806318E+02   0.807241E+02  -0.922745E-01  -0.460401E-01
   0.759393E+01   0.759393E+01   0.791111E+02   0.791111E+02   0.807241E+02  -0.161298E+01  -0.137186E+01
   0.765495E+01   0.765495E+01   0.820300E+02   0.820300E+02   0.807241E+02   0.130589E+01   0.846439E+00
   0.769732E+01   0.769732E+01   0.805392E+02   0.805392E+02   0.807241E+02  -0.184855E+00  -0.200187E+00
   0.771811E+01   0.771811E+01   0.834306E+02   0.834306E+02   0.807241E+02   0.270647E+01   0.157304E+01
   0.775656E+01   0.775656E+01   0.807060E+02   0.807060E+02   0.807241E+02  -0.180513E-01  -0.114786E-01
