               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.798047E+02   0.883328E-03
Maximum           0.816274E+02   0.174515E+01
Range             0.182270E+01   0.174427E+01
Mean              0.807248E+02   0.345708E+00
Median            0.807364E+02   0.286811E+00
Q10%              0.803023E+02   0.474048E-01
Q25%              0.805066E+02   0.116213E+00
Q75%              0.809389E+02   0.502660E+00
Q90%              0.811107E+02   0.728805E+00
St.Dev.           0.306068E+00   0.286771E+00
Variance          0.936773E-01   0.822375E-01
CV                0.379149E-02   0.829517E+00
Skewness         -0.885591E-01   0.139692E+01
Kurtosis         -0.158423E+00   0.272475E+01
MaxPost           0.807241E+02   0.285719E-01
