               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.107164E+03   0.128659E-02
Maximum           0.109619E+03   0.239505E+01
Range             0.245500E+01   0.239376E+01
Mean              0.108400E+03   0.472130E+00
Median            0.108398E+03   0.371199E+00
Q10%              0.107905E+03   0.590837E-01
Q25%              0.108145E+03   0.171325E+00
Q75%              0.108656E+03   0.637500E+00
Q90%              0.108878E+03   0.103902E+01
St.Dev.           0.380499E+00   0.418715E+00
Variance          0.144780E+00   0.175323E+00
CV                0.351015E-02   0.886865E+00
Skewness         -0.599540E-01   0.158375E+01
Kurtosis          0.363354E+00   0.313956E+01
MaxPost           0.108362E+03   0.947632E-02
