               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.980465E+02   0.982829E+02   0.157083E+00   0.528566E-04
Maximum           0.103479E+03   0.103083E+03   0.950744E+01   0.113426E+01
Range             0.543250E+01   0.480010E+01   0.935036E+01   0.113421E+01
Mean              0.100204E+03   0.999958E+02   0.441020E+01   0.276182E+00
Median            0.100064E+03   0.999251E+02   0.353744E+01   0.241538E+00
Q10%              0.995679E+02   0.995682E+02   0.572240E+00   0.372567E-01
Q25%              0.998446E+02   0.997374E+02   0.167534E+01   0.954064E-01
Q75%              0.100455E+03   0.100141E+03   0.732014E+01   0.412269E+00
Q90%              0.101031E+03   0.100394E+03   0.893878E+01   0.583556E+00
St.Dev.           0.637853E+00   0.461194E+00   0.305037E+01   0.212511E+00
Variance          0.406857E+00   0.212700E+00   0.930477E+01   0.451610E-01
CV                0.636554E-02   0.461213E-02   0.691663E+00   0.769460E+00
Skewness          0.124203E+01   0.215225E+01   0.282263E+00   0.815083E+00
Kurtosis          0.352813E+01   0.924212E+01  -0.132127E+01   0.159858E+00
MaxPost           0.100563E+03   0.998753E+02   0.327324E+01   0.140608E+00
