               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.966029E+02   0.100299E-01
Maximum           0.103736E+03   0.683281E+01
Range             0.713310E+01   0.682278E+01
Mean              0.999124E+02   0.967520E+00
Median            0.999646E+02   0.707761E+00
Q10%              0.989340E+02   0.145033E+00
Q25%              0.994530E+02   0.370007E+00
Q75%              0.100372E+03   0.124334E+01
Q90%              0.100781E+03   0.215744E+01
St.Dev.           0.820069E+00   0.910838E+00
Variance          0.672513E+00   0.829626E+00
CV                0.820789E-02   0.941415E+00
Skewness          0.866165E-01   0.213317E+01
Kurtosis          0.256111E+01   0.686351E+01
MaxPost           0.100022E+03   0.361435E-01
