"loglikelihood"	"logprio"	"logposterior"
-5.97552981401191	-4.60517018598809	-10.5807
-3.06103981401191	-4.60517018598809	-7.66621
-3.17256981401191	-4.60517018598809	-7.77774
-2.52502981401191	-4.60517018598809	-7.1302
-3.92030981401191	-4.60517018598809	-8.52548
-2.78664981401191	-4.60517018598809	-7.39182
-5.46222981401191	-4.60517018598809	-10.0674
-7.47902981401191	-4.60517018598809	-12.0842
-4.43123981401191	-4.60517018598809	-9.03641
-2.36722981401191	-4.60517018598809	-6.9724
-4.26053981401191	-4.60517018598809	-8.86571
-2.08606981401191	-4.60517018598809	-6.69124
-3.77718981401191	-4.60517018598809	-8.38236
-5.02240981401191	-4.60517018598809	-9.62758
-3.24913981401191	-4.60517018598809	-7.85431
-7.54652981401191	-4.60517018598809	-12.1517
-5.66372981401191	-4.60517018598809	-10.2689
-3.10761981401191	-4.60517018598809	-7.71279
-4.67222981401191	-4.60517018598809	-9.2774
-6.90072981401191	-4.60517018598809	-11.5059
-6.53322981401191	-4.60517018598809	-11.1384
-2.72158981401191	-4.60517018598809	-7.32676
-3.21366981401191	-4.60517018598809	-7.81884
-4.11040981401191	-4.60517018598809	-8.71558
-6.62652981401191	-4.60517018598809	-11.2317
-5.74422981401191	-4.60517018598809	-10.3494
-4.06730981401191	-4.60517018598809	-8.67248
-3.15669981401191	-4.60517018598809	-7.76187
-2.34915981401191	-4.60517018598809	-6.95433
-2.86027981401191	-4.60517018598809	-7.46545
-5.04857981401191	-4.60517018598809	-9.65375
-4.59063981401191	-4.60517018598809	-9.19581
-6.35462981401191	-4.60517018598809	-10.9598
-6.49752981401191	-4.60517018598809	-11.1027
-2.21152981401191	-4.60517018598809	-6.8167
-7.58622981401191	-4.60517018598809	-12.1914
-6.95802981401191	-4.60517018598809	-11.5632
-5.90522981401191	-4.60517018598809	-10.5104
-3.07717981401191	-4.60517018598809	-7.68235
-1.92790981401191	-4.60517018598809	-6.53308
-2.95177981401191	-4.60517018598809	-7.55695
-2.91250981401191	-4.60517018598809	-7.51768
-4.85632981401191	-4.60517018598809	-9.4615
-2.62162981401191	-4.60517018598809	-7.2268
-1.96213981401191	-4.60517018598809	-6.56731
-3.49988981401191	-4.60517018598809	-8.10506
-3.81389981401191	-4.60517018598809	-8.41907
-7.47592981401191	-4.60517018598809	-12.0811
-7.91562981401191	-4.60517018598809	-12.5208
-2.37244981401191	-4.60517018598809	-6.97762
-2.11539981401191	-4.60517018598809	-6.72057
-2.82253981401191	-4.60517018598809	-7.42771
-2.40882981401191	-4.60517018598809	-7.014
-4.13237981401191	-4.60517018598809	-8.73755
-2.89430981401191	-4.60517018598809	-7.49948
-2.50896981401191	-4.60517018598809	-7.11414
-2.95016981401191	-4.60517018598809	-7.55534
-3.74376981401191	-4.60517018598809	-8.34894
-2.18930981401191	-4.60517018598809	-6.79448
-1.97634981401191	-4.60517018598809	-6.58152
-1.99454981401191	-4.60517018598809	-6.59972
-2.25705981401191	-4.60517018598809	-6.86223
-2.09919981401191	-4.60517018598809	-6.70437
-1.91744981401191	-4.60517018598809	-6.52262
-3.19875981401191	-4.60517018598809	-7.80393
-3.29883981401191	-4.60517018598809	-7.90401
-4.19030981401191	-4.60517018598809	-8.79548
-2.03276981401191	-4.60517018598809	-6.63794
-3.20036981401191	-4.60517018598809	-7.80554
-3.00010981401191	-4.60517018598809	-7.60528
-2.30502981401191	-4.60517018598809	-6.9102
-2.59544981401191	-4.60517018598809	-7.20062
-3.02763981401191	-4.60517018598809	-7.63281
-4.62465981401191	-4.60517018598809	-9.22983
-6.38072981401191	-4.60517018598809	-10.9859
-5.16903981401191	-4.60517018598809	-9.77421
-4.29787981401191	-4.60517018598809	-8.90305
-3.55352981401191	-4.60517018598809	-8.1587
-3.30933981401191	-4.60517018598809	-7.91451
-2.77971981401191	-4.60517018598809	-7.38489
-3.84758981401191	-4.60517018598809	-8.45276
-3.01026981401191	-4.60517018598809	-7.61544
-2.34429981401191	-4.60517018598809	-6.94947
-2.34429981401191	-4.60517018598809	-6.94947
-2.61860981401191	-4.60517018598809	-7.22378
-4.25577981401191	-4.60517018598809	-8.86095
-3.49510981401191	-4.60517018598809	-8.10028
-3.97750981401191	-4.60517018598809	-8.58268
-2.32686981401191	-4.60517018598809	-6.93204
-3.80857981401191	-4.60517018598809	-8.41375
-3.82057981401191	-4.60517018598809	-8.42575
-2.26633981401191	-4.60517018598809	-6.87151
-2.24882981401191	-4.60517018598809	-6.854
-2.69296981401191	-4.60517018598809	-7.29814
-4.39245981401191	-4.60517018598809	-8.99763
-2.34760981401191	-4.60517018598809	-6.95278
-2.72723981401191	-4.60517018598809	-7.33241
-2.66432981401191	-4.60517018598809	-7.2695
-2.52654981401191	-4.60517018598809	-7.13172
-2.76804981401191	-4.60517018598809	-7.37322
-2.48889981401191	-4.60517018598809	-7.09407
-4.38428981401191	-4.60517018598809	-8.98946
-2.66435981401191	-4.60517018598809	-7.26953
-3.39042981401191	-4.60517018598809	-7.9956
-3.16417981401191	-4.60517018598809	-7.76935
-2.33227981401191	-4.60517018598809	-6.93745
-2.20659981401191	-4.60517018598809	-6.81177
-2.25613981401191	-4.60517018598809	-6.86131
-2.87684981401191	-4.60517018598809	-7.48202
-3.15784981401191	-4.60517018598809	-7.76302
-6.43152981401191	-4.60517018598809	-11.0367
-3.60244981401191	-4.60517018598809	-8.20762
-1.92751981401191	-4.60517018598809	-6.53269
-3.51070981401191	-4.60517018598809	-8.11588
-6.64402981401191	-4.60517018598809	-11.2492
-4.99449981401191	-4.60517018598809	-9.59967
-4.96230981401191	-4.60517018598809	-9.56748
-2.20537981401191	-4.60517018598809	-6.81055
-3.38853981401191	-4.60517018598809	-7.99371
-2.40092981401191	-4.60517018598809	-7.0061
-4.22529981401191	-4.60517018598809	-8.83047
-4.05063981401191	-4.60517018598809	-8.65581
-6.37122981401191	-4.60517018598809	-10.9764
-3.10039981401191	-4.60517018598809	-7.70557
