               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.920645E+02   0.298976E-01
Maximum           0.106369E+03   0.245290E+02
Range             0.143045E+02   0.244991E+02
Mean              0.100320E+03   0.240911E+01
Median            0.100338E+03   0.199272E+01
Q10%              0.988503E+02   0.568823E+00
Q25%              0.995999E+02   0.110572E+01
Q75%              0.100986E+03   0.302307E+01
Q90%              0.101856E+03   0.436630E+01
St.Dev.           0.142967E+01   0.216593E+01
Variance          0.204394E+01   0.469127E+01
CV                0.142510E-01   0.899061E+00
Skewness         -0.425237E+00   0.385955E+01
Kurtosis          0.498095E+01   0.272013E+02
MaxPost           0.100258E+03   0.888950E+00
