               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.994352E+02   0.194532E+01
Maximum           0.101436E+03   0.391559E+01
Range             0.200080E+01   0.197027E+01
Mean              0.100487E+03   0.274874E+01
Median            0.100469E+03   0.272711E+01
Q10%              0.100003E+03   0.233615E+01
Q25%              0.100237E+03   0.251551E+01
Q75%              0.100767E+03   0.296293E+01
Q90%              0.100983E+03   0.314457E+01
St.Dev.           0.386221E+00   0.332438E+00
Variance          0.149167E+00   0.110515E+00
CV                0.384349E-02   0.120942E+00
Skewness         -0.447108E-01   0.471403E+00
Kurtosis         -0.165288E+00   0.338598E+00
MaxPost           0.100506E+03   0.264947E+01
