"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
99.1199	79.4173	6.89886	4.01687	-285.677
99.8728	78.4652	6.9688	4.11991	-285.209
99.363	80.5824	6.9688	3.91412	-286.231
100.119	80.4779	7.07461	3.96297	-285.008
99.6999	80.293	6.94069	3.79986	-284.909
98.7893	79.5542	6.85432	3.74503	-287.253
100.312	79.3326	6.88148	3.61206	-284.105
100.191	79.9565	6.86773	3.52582	-284.583
100.286	79.1017	6.99917	3.29326	-285.725
100.219	79.7635	7.00014	3.86646	-283.925
100.533	80.2446	7.02367	4.09808	-285.091
100.326	78.9333	6.97478	3.83455	-284.154
100.937	80.047	6.87081	4.0533	-285.585
100.284	79.3144	7.07665	3.82131	-283.853
100.569	80.3224	6.61891	4.41082	-288.233
100.162	80.3263	7.04748	4.22468	-285.274
100.141	79.4194	7.06658	4.00587	-283.953
100.501	79.0564	6.89254	3.72264	-284.302
100.211	79.369	6.84807	3.90856	-283.844
99.71	79.9632	6.97088	3.79669	-284.389
100.103	78.7422	7.07781	4.62281	-286.699
100.888	78.1773	6.84704	4.56708	-288.111
100.156	78.9489	7.02779	3.85863	-284.057
100.339	79.6164	7.0049	4.22514	-284.64
99.4623	78.8984	7.02366	4.03358	-285.02
100.2	80.7263	6.9295	4.20049	-286.031
100.939	80.2502	6.68479	3.99239	-288.051
100.793	79.2954	6.92065	4.05946	-284.869
100.165	78.7461	7.0254	3.97627	-284.404
100.327	79.9062	6.5345	4.21799	-287.295
100.31	79.2415	6.85937	4.01071	-284.068
99.6531	80.1816	7.00328	3.95294	-284.821
100.333	79.7666	7.01856	4.22374	-284.704
99.4711	80.2475	6.71021	4.00009	-288.221
99.3013	80.0615	6.45194	3.78032	-288.911
100.855	80.3358	6.77852	4.02768	-287.953
100.644	79.2552	7.04373	4.47072	-285.977
100.578	79.437	7.06995	4.39857	-285.532
99.5436	79.7413	6.97789	3.93786	-284.526
101.333	80.4359	7.01566	4.08053	-287.618
100.219	79.6449	7.01566	4.10398	-284.227
99.8093	78.6181	6.87536	3.32347	-286.493
100.862	79.342	6.44566	3.59769	-288.804
100.949	79.1201	6.96657	4.09469	-285.414
99.9281	79.6561	6.89603	3.29158	-285.604
100.41	80.3691	6.89603	3.52457	-285.514
100.031	80.9957	6.90538	3.5471	-287.197
99.6471	79.3425	6.95847	3.52194	-284.753
99.9752	77.9821	6.57311	4.32962	-290.617
99.7037	79.6419	6.97469	4.27588	-285.005
99.8225	79.11	6.93535	3.88363	-284.073
100.044	79.1809	6.93123	3.56228	-284.237
99.6937	79.0476	6.92406	3.86308	-284.283
100.335	79.902	6.89423	3.63176	-284.309
100.637	78.9835	7.00293	3.7596	-284.577
100.152	79.7076	7.06042	3.34911	-285.174
100.281	80.1553	7.01019	4.46754	-286.023
99.9974	81.0262	7.0087	3.92388	-286.526
100.409	79.6472	6.87487	3.55794	-284.383
100.389	78.5904	6.92284	3.72439	-284.828
99.665	79.0008	7.07904	4.5257	-286.242
100.708	79.0806	7.01377	4.18301	-285.079
100.339	78.8733	6.96692	3.78399	-284.253
100.052	79.1431	7.03827	3.87604	-283.899
100.318	79.3538	6.88328	4.88686	-288.004
99.1476	78.8808	6.9428	3.58118	-286.466
101.085	78.658	7.0107	4.07454	-286.296
98.8308	78.9725	6.93002	4.01538	-287.035
100.348	79.9153	7.07302	3.58241	-284.46
100.054	79.3526	7.07844	3.61237	-284.021
100.073	79.5745	7.07844	3.97756	-283.926
100.442	78.5874	7.07844	4.18888	-285.254
100.074	79.2911	7.07844	3.93853	-283.877
101.199	79.7824	7.00633	4.80716	-289.02
99.8044	80.7197	6.91012	3.73846	-285.863
100.936	79.7374	7.08219	3.56602	-285.678
100.022	79.7922	6.94698	3.90923	-283.967
99.6992	79.167	6.93189	3.85442	-284.185
100.314	79.8394	6.88291	3.63127	-284.229
100.235	80.6305	6.8736	4.01164	-285.44
100.994	79.3639	6.99988	3.6208	-285.618
99.4624	78.7929	7.00243	4.09848	-285.257
99.2042	78.9944	7.00547	3.74289	-285.66
100.192	78.9691	7.01951	3.40266	-285.13
100.657	77.9844	7.01106	3.53326	-287.634
100.738	79.9824	7.02313	3.83104	-284.841
99.4709	78.5414	6.97793	4.13865	-285.695
100.048	79.399	7.01471	4.01566	-283.977
99.8958	80.6635	6.85726	4.13216	-285.778
100.188	78.5583	6.9681	4.51666	-286.394
100.041	78.7485	6.9221	3.90736	-284.34
100.286	80.1459	6.98287	3.69948	-284.48
99.9001	80.2055	6.99673	4.07518	-284.757
100.105	79.0872	7.05102	3.5381	-284.382
100.684	78.4683	7.06438	4.07248	-285.57
100.042	79.1499	6.98051	3.77311	-283.895
100.156	80.0413	6.94643	4.46657	-285.85
99.915	78.5392	6.8564	3.6893	-284.918
101.072	77.3656	7.03474	3.88361	-290.158
100.294	79.5026	7.03474	3.92568	-283.902
100.104	79.1485	7.03474	3.8983	-283.903
100.561	79.1434	6.91637	3.82186	-284.261
100.394	79.8342	7.05491	4.16933	-284.63
99.7862	77.7487	6.91599	4.50258	-288.166
99.726	78.6282	6.94084	3.53056	-285.433
100.272	79.3679	6.96905	4.39649	-285.242
99.5023	80.2142	6.98427	3.52391	-285.804
99.6425	79.5474	6.86658	4.6694	-286.906
100.316	78.151	6.84943	3.6837	-285.953
100.316	79.9821	6.64299	3.94916	-287.032
100.342	79.2683	6.88679	4.02474	-284.107
100.066	78.9203	6.99002	3.76493	-284.11
100.702	78.913	6.99002	3.58874	-285.162
99.1706	78.8073	6.94509	3.95472	-285.868
99.9723	79.731	7.07059	3.914	-283.95
100.724	80.2432	7.07059	4.21676	-285.711
99.3115	78.7895	7.07059	3.7172	-285.608
100.697	80.0723	6.61147	3.67475	-287.933
99.2917	80.1044	6.79133	3.82782	-288.855
100.667	79.0376	6.95211	4.50548	-286.275
100.141	80.6989	7.01546	3.99534	-285.568
99.3755	79.5666	7.01546	4.00072	-284.905
99.553	79.6121	6.945	3.98652	-284.498
99.3685	78.6972	6.91939	4.27461	-286.042
100.519	79.953	6.9089	4.06289	-284.616
99.5441	79.6929	6.87381	3.953	-284.511
100.327	79.4204	7.05371	4.02154	-284.061
100.501	80.0048	7.02433	3.83088	-284.414
100.28	80.0479	6.90352	4.44398	-285.79
100.979	78.9591	6.90352	3.64665	-285.775
100.112	79.2885	6.99128	3.95403	-283.895
100.262	77.2593	7.06749	4.01073	-288.834
99.4685	78.8029	6.99129	3.87474	-285.002
98.5221	79.2723	6.85005	3.91361	-288.447
99.567	79.2844	7.07818	3.5608	-284.811
100.744	79.3366	6.78363	4.38985	-288.291
100.678	80.2905	7.07045	3.82465	-285.182
100.132	78.9484	7.07045	3.47022	-284.807
99.9801	79.1522	6.81713	4.10958	-287.598
100.131	79.0092	7.03089	3.70234	-284.072
99.6786	80.1352	7.01388	4.04776	-284.843
99.3199	79.7691	7.01704	4.04776	-285.216
100.819	79.721	6.96095	4.13019	-285.141
100.033	80.4794	6.91454	3.38597	-286.305
100.675	81.0009	7.07546	4.46513	-288.068
100.261	79.6948	6.98244	4.4366	-285.479
100.881	80.4742	6.90008	3.62816	-286.472
99.5033	79.5986	6.90008	4.08184	-284.758
99.6772	79.3927	6.90693	4.0647	-284.391
99.2788	79.1052	7.08074	3.97963	-285.245
100.181	79.7336	7.08094	3.36296	-285.117
100.478	79.1285	7.04093	3.86825	-284.148
100.093	79.6041	6.91427	4.61984	-286.35
99.6913	80.188	6.96935	4.22966	-285.352
100.324	79.2603	6.93777	3.62258	-284.118
99.9768	78.7242	6.97802	3.68176	-284.533
99.2933	79.6245	6.9624	3.58582	-285.525
99.7541	79.73	6.87912	3.62711	-284.329
100.009	79.5678	7.00279	3.15675	-286.641
99.7848	80.7169	6.91475	3.62721	-286.139
99.8532	80.3581	6.86137	3.95455	-284.874
100.234	79.5528	6.95123	4.06527	-284.11
100.027	78.9847	7.01176	3.86773	-284.032
99.9367	79.5485	6.85864	3.70126	-283.918
99.8234	79.0043	7.04038	4.42389	-285.595
100.659	80.6497	6.80566	3.70919	-288.528
99.2439	80.478	7.02522	4.01771	-286.38
100.649	79.6995	7.03657	4.19696	-284.965
99.6502	80.8837	6.88463	3.86707	-286.446
100.101	78.7246	7.07983	4.13147	-284.721
100.147	78.0727	7.00533	3.5952	-286.404
98.8182	80.2555	6.97758	3.75493	-287.818
101.256	81.0053	6.97758	3.73462	-289.207
101.014	82.1532	6.53127	3.99189	-293.904
100.677	78.8775	6.92809	4.18323	-285.195
99.6751	78.4808	6.9771	3.53696	-285.837
100.033	79.7165	7.07554	3.22695	-286.073
100.354	79.9116	6.59006	3.59067	-287.792
99.9936	80.1548	6.99742	4.01643	-284.519
100.225	79.3239	6.99742	4.01643	-284.006
99.9178	79.4097	7.03885	3.9818	-283.978
100.875	80.0692	7.01463	4.20526	-285.774
100.064	78.966	6.85186	3.64639	-284.22
99.6871	79.3283	6.85186	4.13664	-284.557
99.5232	79.8801	6.84754	3.79524	-284.656
99.6891	78.0418	6.92065	3.49046	-287.39
99.5097	79.3435	6.92065	4.29873	-285.354
100.953	79.0915	6.93966	3.90388	-285.242
100.319	79.5574	6.88725	4.35356	-285.095
100.586	79.3852	6.87777	3.17506	-287.024
100.156	78.4224	7.03422	4.00324	-285.004
100.314	79.4485	6.92332	4.09681	-284.215
100.362	79.0994	7.02481	3.73489	-284.075
100.306	80.2147	6.87365	3.84304	-284.507
100.395	79.855	6.87031	4.0394	-284.331
100.884	78.1387	7.04201	4.10131	-286.799
100.171	78.9454	6.88237	4.19422	-284.65
99.0974	78.5939	7.05416	4.43643	-287.457
100.02	80.8649	6.93129	4.04074	-286.086
98.7013	78.513	6.42111	4.37991	-292.599
100.828	78.6939	6.90605	3.96919	-285.38
100.702	78.0273	7.04534	4.01474	-286.597
