               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.112848E+03   0.112813E+03   0.138933E+01   0.243306E-03
Maximum           0.117925E+03   0.118495E+03   0.924343E+01   0.100014E+01
Range             0.507700E+01   0.568200E+01   0.785410E+01   0.999897E+00
Mean              0.115772E+03   0.116183E+03   0.455888E+01   0.259766E+00
Median            0.115963E+03   0.116217E+03   0.377070E+01   0.216365E+00
Q10%              0.114733E+03   0.115750E+03   0.175482E+01   0.465349E-01
Q25%              0.115434E+03   0.115988E+03   0.224456E+01   0.108858E+00
Q75%              0.116263E+03   0.116411E+03   0.693639E+01   0.387239E+00
Q90%              0.116496E+03   0.116611E+03   0.866653E+01   0.511576E+00
St.Dev.           0.747462E+00   0.445203E+00   0.257668E+01   0.193429E+00
Variance          0.558699E+00   0.198206E+00   0.663926E+01   0.374148E-01
CV                0.645631E-02   0.383193E-02   0.565199E+00   0.744628E+00
Skewness         -0.109298E+01  -0.155109E+01   0.502311E+00   0.979912E+00
Kurtosis          0.153026E+01   0.128732E+02  -0.122333E+01   0.733379E+00
MaxPost           0.115277E+03   0.116227E+03   0.238444E+01   0.222044E-02
