res1           res2           tau1           Y1_gamma1      LogPost        
   0.113658E+03   0.116610E+03   0.186367E+01   0.716249E-01  -0.354350E+02
   0.116263E+03   0.115974E+03   0.607392E+01   0.420073E+00  -0.347260E+02
   0.116485E+03   0.115974E+03   0.856366E+01   0.360649E+00  -0.346187E+02
   0.116159E+03   0.116119E+03   0.478973E+01   0.297166E+00  -0.339811E+02
   0.116102E+03   0.116430E+03   0.781148E+01   0.168342E+00  -0.338924E+02
   0.115867E+03   0.115391E+03   0.777504E+01   0.312993E+00  -0.364592E+02
   0.116737E+03   0.116041E+03   0.402688E+01   0.253032E+00  -0.346229E+02
   0.116176E+03   0.116718E+03   0.603797E+01   0.526042E+00  -0.361939E+02
   0.115998E+03   0.116422E+03   0.658871E+01   0.152071E+00  -0.340052E+02
   0.116180E+03   0.116628E+03   0.280894E+01   0.306051E+00  -0.349356E+02
   0.116174E+03   0.115800E+03   0.492380E+01   0.306051E+00  -0.345784E+02
   0.115952E+03   0.116723E+03   0.590699E+01   0.612074E-02  -0.354242E+02
   0.116178E+03   0.116301E+03   0.471105E+01   0.506526E-01  -0.335652E+02
   0.116057E+03   0.115733E+03   0.688825E+01   0.120037E+00  -0.343848E+02
   0.116284E+03   0.115698E+03   0.721464E+01   0.148148E+00  -0.344934E+02
   0.116284E+03   0.116062E+03   0.759822E+01   0.562909E+00  -0.353385E+02
   0.113959E+03   0.116184E+03   0.247261E+01   0.578381E+00  -0.361806E+02
   0.114713E+03   0.116297E+03   0.244028E+01   0.154712E-01  -0.327572E+02
   0.115312E+03   0.116362E+03   0.214449E+01   0.141618E+00  -0.325895E+02
   0.115195E+03   0.116331E+03   0.170712E+01   0.249312E+00  -0.328799E+02
   0.115984E+03   0.115914E+03   0.302157E+01   0.671252E-01  -0.341148E+02
   0.115931E+03   0.116241E+03   0.201113E+01   0.486505E-01  -0.329175E+02
   0.114185E+03   0.116256E+03   0.201113E+01   0.366150E+00  -0.345328E+02
   0.115539E+03   0.115780E+03   0.286434E+01   0.926200E+00  -0.386358E+02
   0.115855E+03   0.116660E+03   0.867862E+01   0.931379E-01  -0.354693E+02
   0.116258E+03   0.116618E+03   0.243643E+01   0.120868E+00  -0.347302E+02
   0.116069E+03   0.115907E+03   0.224783E+01   0.456695E+00  -0.354699E+02
   0.114887E+03   0.116534E+03   0.234501E+01   0.446145E+00  -0.342714E+02
   0.114347E+03   0.116320E+03   0.296952E+01   0.531439E-01  -0.347785E+02
   0.116602E+03   0.116042E+03   0.579663E+01   0.441927E+00  -0.354951E+02
   0.115895E+03   0.116091E+03   0.738884E+01   0.105519E+00  -0.339987E+02
   0.116311E+03   0.115629E+03   0.821801E+01   0.432150E+00  -0.347147E+02
   0.115928E+03   0.116097E+03   0.558261E+01   0.311935E+00  -0.342582E+02
   0.115740E+03   0.116348E+03   0.585964E+01   0.311935E+00  -0.348967E+02
   0.116201E+03   0.115693E+03   0.373821E+01   0.225059E+00  -0.355163E+02
   0.116264E+03   0.115677E+03   0.553501E+01   0.432817E+00  -0.358122E+02
   0.116323E+03   0.116302E+03   0.528042E+01   0.316956E+00  -0.342300E+02
   0.114552E+03   0.116302E+03   0.181495E+01   0.316956E+00  -0.333203E+02
   0.114511E+03   0.116302E+03   0.256580E+01   0.350907E+00  -0.348808E+02
   0.115682E+03   0.116302E+03   0.274014E+01   0.100014E+01  -0.378882E+02
   0.115446E+03   0.115996E+03   0.430591E+01   0.495867E+00  -0.362603E+02
   0.115849E+03   0.115996E+03   0.556706E+01   0.211941E+00  -0.343042E+02
   0.115921E+03   0.116442E+03   0.218216E+01   0.411942E+00  -0.340994E+02
   0.116195E+03   0.114669E+03   0.889556E+01   0.353405E+00  -0.343251E+02
   0.116472E+03   0.115866E+03   0.667263E+01   0.353405E+00  -0.351202E+02
   0.116363E+03   0.116370E+03   0.596892E+01   0.545183E-01  -0.338966E+02
   0.116206E+03   0.116547E+03   0.890075E+01   0.545183E-01  -0.336898E+02
   0.116194E+03   0.116207E+03   0.843943E+01   0.101326E+00  -0.335167E+02
   0.116274E+03   0.115617E+03   0.891162E+01   0.633514E-01  -0.333920E+02
   0.116274E+03   0.115643E+03   0.839731E+01   0.374512E+00  -0.343932E+02
   0.116489E+03   0.116378E+03   0.704890E+01   0.427912E+00  -0.351601E+02
   0.116706E+03   0.116556E+03   0.545314E+01   0.136356E+00  -0.358590E+02
   0.116013E+03   0.115909E+03   0.563730E+01   0.230364E+00  -0.342231E+02
   0.116008E+03   0.115909E+03   0.563462E+01   0.267619E+00  -0.343336E+02
   0.115941E+03   0.115905E+03   0.277946E+01   0.662311E+00  -0.364107E+02
   0.115162E+03   0.115915E+03   0.273888E+01   0.271243E+00  -0.344443E+02
   0.115718E+03   0.115788E+03   0.155452E+01   0.223597E-01  -0.349100E+02
   0.112974E+03   0.115996E+03   0.155452E+01   0.400693E+00  -0.358074E+02
   0.114306E+03   0.116189E+03   0.155452E+01   0.156904E+00  -0.335294E+02
   0.116284E+03   0.117534E+03   0.913431E+01   0.183988E+00  -0.350910E+02
   0.116037E+03   0.115373E+03   0.608455E+01   0.138342E+00  -0.368464E+02
   0.115494E+03   0.116429E+03   0.210714E+01   0.876865E-01  -0.327223E+02
   0.116265E+03   0.116386E+03   0.273717E+01   0.122290E+00  -0.337557E+02
   0.116265E+03   0.116418E+03   0.431619E+01   0.527213E+00  -0.354570E+02
   0.116368E+03   0.115881E+03   0.432577E+01   0.461966E-01  -0.340089E+02
   0.116269E+03   0.116426E+03   0.533286E+01   0.317299E+00  -0.343970E+02
   0.116189E+03   0.115957E+03   0.920204E+01   0.568915E+00  -0.351766E+02
   0.116148E+03   0.114934E+03   0.902107E+01   0.265511E+00  -0.338796E+02
   0.116209E+03   0.116046E+03   0.718602E+01   0.142515E+00  -0.335676E+02
   0.116099E+03   0.116678E+03   0.912490E+01   0.236645E+00  -0.341719E+02
   0.115811E+03   0.116344E+03   0.276001E+01   0.155220E+00  -0.330351E+02
   0.116041E+03   0.116085E+03   0.391259E+01   0.575450E-01  -0.335329E+02
   0.115080E+03   0.115875E+03   0.183047E+01   0.575450E-01  -0.338305E+02
   0.115992E+03   0.115875E+03   0.539861E+01   0.400420E+00  -0.349358E+02
   0.116508E+03   0.115457E+03   0.905609E+01   0.218060E+00  -0.345789E+02
   0.116176E+03   0.116502E+03   0.718644E+01   0.339117E-01  -0.340754E+02
   0.115967E+03   0.116551E+03   0.626162E+01   0.283493E-01  -0.346238E+02
   0.116223E+03   0.116347E+03   0.620269E+01   0.283493E-01  -0.336772E+02
   0.116223E+03   0.116434E+03   0.897783E+01   0.845878E+00  -0.372222E+02
   0.116223E+03   0.115039E+03   0.921067E+01   0.229683E+00  -0.337246E+02
   0.116649E+03   0.116152E+03   0.821407E+01   0.629706E+00  -0.365887E+02
   0.115902E+03   0.116346E+03   0.581723E+01   0.706040E+00  -0.363821E+02
   0.115798E+03   0.115983E+03   0.809254E+01   0.726500E+00  -0.370387E+02
   0.116378E+03   0.115917E+03   0.676494E+01   0.428254E+00  -0.350424E+02
   0.116295E+03   0.117699E+03   0.751990E+01   0.647138E+00  -0.413236E+02
   0.115731E+03   0.116488E+03   0.207069E+01   0.387558E+00  -0.339051E+02
   0.115744E+03   0.116580E+03   0.207069E+01   0.594494E+00  -0.352838E+02
   0.114717E+03   0.116004E+03   0.207069E+01   0.608690E-01  -0.334517E+02
   0.113704E+03   0.116502E+03   0.244144E+01   0.420024E-01  -0.357975E+02
   0.115428E+03   0.116304E+03   0.202397E+01   0.164811E+00  -0.325985E+02
   0.114867E+03   0.116327E+03   0.141478E+01   0.370196E-01  -0.340448E+02
   0.114705E+03   0.116327E+03   0.160923E+01   0.358131E+00  -0.334032E+02
   0.114954E+03   0.116282E+03   0.230457E+01   0.462432E-01  -0.325152E+02
