               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.945221E+02   0.988957E+02   0.181946E+00   0.109832E-02
Maximum           0.101877E+03   0.102195E+03   0.548267E+01   0.102186E+01
Range             0.735490E+01   0.329930E+01   0.530072E+01   0.102076E+01
Mean              0.992925E+02   0.999445E+02   0.252393E+01   0.351375E+00
Median            0.996165E+02   0.998616E+02   0.214082E+01   0.322595E+00
Q10%              0.979539E+02   0.995110E+02   0.285374E+00   0.735409E-01
Q25%              0.992372E+02   0.996720E+02   0.526886E+00   0.160561E+00
Q75%              0.998152E+02   0.100085E+03   0.451157E+01   0.515850E+00
Q90%              0.100025E+03   0.100516E+03   0.522045E+01   0.674840E+00
St.Dev.           0.100680E+01   0.428414E+00   0.193395E+01   0.227745E+00
Variance          0.101364E+01   0.183539E+00   0.374016E+01   0.518678E-01
CV                0.101397E-01   0.428652E-02   0.766244E+00   0.648154E+00
Skewness         -0.192130E+01   0.147314E+01   0.191714E+00   0.529373E+00
Kurtosis          0.412528E+01   0.356766E+01  -0.158066E+01  -0.363523E+00
MaxPost           0.976593E+02   0.998451E+02   0.289955E+00   0.998125E-01
