               res1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03
Minimum           0.102005E+03   0.774187E-03
Maximum           0.105167E+03   0.305562E+01
Range             0.316200E+01   0.305485E+01
Mean              0.103384E+03   0.699062E+00
Median            0.103403E+03   0.608255E+00
Q10%              0.102935E+03   0.123846E+00
Q25%              0.103137E+03   0.286822E+00
Q75%              0.103594E+03   0.963926E+00
Q90%              0.103842E+03   0.141504E+01
St.Dev.           0.381843E+00   0.513516E+00
Variance          0.145804E+00   0.263698E+00
CV                0.369343E-02   0.734578E+00
Skewness          0.229599E+00   0.107853E+01
Kurtosis          0.149895E+01   0.143688E+01
MaxPost           0.103355E+03   0.813217E-01
