               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.933683E+02   0.990904E+02   0.454180E+01   0.997929E-02
Maximum           0.958009E+02   0.101775E+03   0.462878E+01   0.235549E+01
Range             0.243260E+01   0.268460E+01   0.869800E-01   0.234551E+01
Mean              0.946516E+02   0.100327E+03   0.458437E+01   0.891405E+00
Median            0.946570E+02   0.100329E+03   0.458530E+01   0.881576E+00
Q10%              0.940940E+02   0.998606E+02   0.454902E+01   0.370661E+00
Q25%              0.943519E+02   0.100100E+03   0.456170E+01   0.628088E+00
Q75%              0.949308E+02   0.100587E+03   0.460621E+01   0.116752E+01
Q90%              0.951901E+02   0.100791E+03   0.462006E+01   0.139789E+01
St.Dev.           0.428002E+00   0.357156E+00   0.256751E-01   0.397725E+00
Variance          0.183186E+00   0.127560E+00   0.659211E-03   0.158185E+00
CV                0.452186E-02   0.355993E-02   0.560057E-02   0.446178E+00
Skewness         -0.119136E-01  -0.246607E-01   0.212254E-01   0.208838E+00
Kurtosis         -0.744246E-01   0.325642E+00  -0.125179E+01   0.130134E+00
MaxPost           0.946390E+02   0.100387E+03   0.458558E+01   0.814309E+00
