               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.993202E+02   0.968584E+02   0.465655E-01   0.146256E-03
Maximum           0.102826E+03   0.102886E+03   0.883431E+01   0.855633E+00
Range             0.350580E+01   0.602760E+01   0.878774E+01   0.855487E+00
Mean              0.100106E+03   0.997978E+02   0.464273E+01   0.289213E+00
Median            0.100029E+03   0.998469E+02   0.436519E+01   0.275476E+00
Q10%              0.998129E+02   0.989988E+02   0.576636E+00   0.445623E-01
Q25%              0.999026E+02   0.997191E+02   0.160756E+01   0.143472E+00
Q75%              0.100189E+03   0.100009E+03   0.814896E+01   0.427856E+00
Q90%              0.100478E+03   0.100216E+03   0.864025E+01   0.528434E+00
St.Dev.           0.378965E+00   0.666674E+00   0.311892E+01   0.180517E+00
Variance          0.143614E+00   0.444455E+00   0.972767E+01   0.325863E-01
CV                0.378563E-02   0.668025E-02   0.671786E+00   0.624165E+00
Skewness          0.301487E+01   0.163329E+00   0.162319E-01   0.342607E+00
Kurtosis          0.137671E+02   0.526521E+01  -0.155453E+01  -0.550107E+00
MaxPost           0.999790E+02   0.986893E+02   0.855695E+01   0.641350E-01
