               res1           res2           tau1           Y1_gamma1      
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.972074E+02   0.108288E+03   0.569805E+01   0.303448E+01
Maximum           0.100928E+03   0.112056E+03   0.591278E+01   0.497502E+01
Range             0.372060E+01   0.376800E+01   0.214730E+00   0.194054E+01
Mean              0.988378E+02   0.110096E+03   0.583757E+01   0.380158E+01
Median            0.988359E+02   0.110099E+03   0.583832E+01   0.379045E+01
Q10%              0.981326E+02   0.109207E+03   0.577688E+01   0.339263E+01
Q25%              0.984961E+02   0.109666E+03   0.579791E+01   0.356998E+01
Q75%              0.991709E+02   0.110572E+03   0.587496E+01   0.398909E+01
Q90%              0.994978E+02   0.110937E+03   0.589850E+01   0.420483E+01
St.Dev.           0.535986E+00   0.676478E+00   0.443233E-01   0.322675E+00
Variance          0.287281E+00   0.457623E+00   0.196455E-02   0.104119E+00
CV                0.542289E-02   0.614443E-02   0.759277E-02   0.848791E-01
Skewness          0.181347E+00  -0.327126E-01  -0.449783E-01   0.421404E+00
Kurtosis          0.555957E+00  -0.135514E+00  -0.106058E+01   0.251654E+00
MaxPost           0.987532E+02   0.110198E+03   0.579779E+01   0.368583E+01
